,content
77,최악의 영화.억지로 잔인하게 만들려고 미국 스릴러 영화 흉내낸 쓰레기.레알 쓰레기
78,억지성 반전이야 이범수보는맛
79,헐... 이건 뭐 속편나오는게 이해가 안돼는구만
80,한마디로 그냥 허접하다. 뭐가 이렇게 어설퍼
81,한국공포영화 맨날 마지막에 일부러 감동적이게만든다 ㅡㅡ짜증.. 재미도없어
82,한국영화에 발전을 저해하는 쓰레기영화
83,그냥 그렇다
84,뭐 이런 쓰레기 영화가 있어
85,감독이 바랬던건 오직 첫장면뿐
86,영화보는 내내 영화에서 어떤 내용이 나올 지 다 예측해서 스릴이 떨어졌다
87,장난하냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
88,싯OO 돈아까웠다^*^
89,이 건.. 징그럽구 고어영화수준..(19세)인데. .반전인가 이게;;?
90,6살?8살인가 오빠랑 오빠친구들이랑 봤는데 아직도 장면이 생생하게 기억난다. 익사.촛농.추락.세탁기..진짜 잊어버리고 싶다ㅠㅠ
91,나는 7점대 영화라고 본다
92,쓰레기영화.영상은 난잡하고 학생들이 죽는과정에서도 교사들은 '괜찮아
93,여러가지 공포 범죄 스릴러가 짬뽕된듯한 영화. 폐쇠된 학교에서 진행되는 생존(?)게임! 작은반전을 품고있지만 엄청 놀랄만한 내용은 아님
94,
95,아니 근데 이영화 청불 영화 아니냐ㄷㄷ 재밌긴한데 너무 잔인하다ㅠㅠ
96,본지 오래 됐는데도 너무 재밌게 봤었는데..2편은 폭망이지만ㅠ 1편의 스토리와 결말이 신선했다.마지막 영화뒤에 나오는 짤이 웃음도 줬고..요즘같은 시대에 더욱 어울리는 스토리이고지금이라면 이런 피해자가 분명 어딘가에...
97,너무 어렸을 때 봐서 개연성이 개판인 것도 모르고 봤는데 지금 보니까 나사가 좀 많이 빠져있네 ㅎㅎ 그래도 이정도면 한국에선 공포영화 수작쯤 되지 않나
98,한 번더 재개봉 했으면 좋겠다ㅠㅠ
99,잔인하지만 고사2 보다는 명작...
100,2보다 더나음. 2는 말이필요없는 망작.
101,여기 초반에 나오는 학교가 우리 학교라 10점줌 ㅋㅋ
102,고사2에 비해 괜찮은 수작이였다
103,몇 번 봤는데 볼 때마다 재밌네요!! 남규리랑 김범 팬이기도 해요~  나름 공포영화 치곤 스토리도 괜찮고 결말도 나쁘지 않았어요!!
104,답답...스토리와 연기력이...
105,1편도 그지같지만
106,고사2보다 나으나이 영화의 문제점은 무섭다기보다 잔인한것이고 사실 그리 잔인한것도 아니라 차라리 잔인하게 만들거면 19세 이용가 급으로 만들었어야 했다. 스토리도 진부하고 더 깊게 파고들었어야했다.  이영화에서 칭...
107,고사2에 비하면 재밌었다.
108,시험문제가 암호네; 막상 내용도 너무 빈약한거 같고.
109,...
110,의지가부족했어^^
111,한국영화중 공포영화는 잘만든영화를 찾아보기 힘드네.
112,괜찮았어요
113,이건 뭐 장난?
114,이거 수업중에 김범이 장난쳐서 나온 노래제목이 뭐예요?
115,공포영화못보는데내친구나와서봤는데볼만하던데
116,진짜 타임킬링용 ㅇㅇ
117,이 영화보니까 쏘우가 생각난다
118,고사2보다는재미있지만역시무의미한살인의이미지는없어지지않는군
119,ㅇㅇ 동감임 ㅋㅋ
120,재미면에서는 괜찮음
121,영상미
122,잔이해 안무섭고무섭고그래요고사1보다2가훨씬나아요그래도짱
123,저 고사 2 봤는데 범인이 황정음!!!!!!!!!!!!!!!!!!!!!
124,이편이 썩었으니 후편도 썩었지..
125,참 무지막지한 설정이구나
126,장르 엔터테인먼트 공포물의 한 정형이 될 수도 있을 것 같다.
127,새탁기에 개돌림 ㅅㅂ 잔인해서 못보겠음 ..-_-
128,80년대에 쏘우가 개봉했다면 이러했을까?
129,OOO기 아인슈타인도 울고갈 수학공식 ㅋㅋㅋ
130,너무 재밋엇어요 스토리 기가막혓어요
131,이걸 봤거든요
132,이것도 쓰레긴데 2보다 이게 나았다고?
133,왕우
134,이거완전 잼있음 고사2보다 배나음스토리도 그러코 더무섭고특히 마지막결말이 좋았음
135,고사1이 더 재밌다 2는 쓰레기
136,귀신 몇초 나오지도 않는 심심한 귀신영화보다 잔인한게 훨 낫다ㅋㅋㅋㅋ
137,남규리때문에 보는거지 뭐 ..
138,장르가 공포 스릴러였네..ㄷㄷ
139,오히려 기대를 전혀 안하고 봐서 그런가 기대 이상으로 재밌었다ㅣ
140,이런 시즌 양산형 영화는 만들지 말아라 한국영화 발전에 전혀 도움이 안된다
141,고사2보다 고사1이 나음.ㅠ
142,공포물은 시각적인 공포보다 상황적인 공포가 주류가 되야하거늘
143,고사2보다낮다
144,솔직히 잔인하기만 하고 나머지는 별로다.
145,15세치곤 구역질 나는 고어영화
146,잼있던뎅
147,영화의 전반적인 흐름은 좋았는데
148,누군가를위해 학생들이협동하는모습이 감동적이었습니다.어?근데이게 공포영화라구요?
149,고사2보다 고사1이 더 무섭다ㅠㅠㅠㅠ
150,허세만 쩌든..캐스팅만 호화스러운 속빈 강정..역해서 70%밖에 못보겠더라.
151,시간낭비했어요. 완전 비추. 고사2 보기전에 봤는데 머지 이 영화는..고사2 안봐야지.
152,재밌긴한데...   너무 막장;;
153,뭐냐..
154,갠춘
155,이범수라는배우가아까운영화 내용 허구성이너무심함!너무잔인!
156,내 시간ㅠㅠ 스탭롤 첫 장면은 재밌었다
157,새벽에 영화관에서 봤는데 이렇게 안무서울 줄이야
158,무...섭다ㅠㅠ
159,이정도 작품성이면 나오면 안되는 속편인데 .. 답이없는공포
160,볼만한 공포영화였습니다.스토리와소재도좋구요.다만 많이잔인해서
161,이거본지는좀됫거든요
162,이게 중고딩들 인기영화라는데 요즘 중고딩 수준이 이거 밖에 안되는 걸까. 너무한다.
163,창감독감독님 영화라서 봤는데 정말 반적 억지이고
164,솔직히 정말 실망...한국 스릴러영화러고 해서 기대했는대 대실망...
165,귀신영화못봐서눈가리고잇엇는데 친구가반전알려줘서 별무리없이봣다 촬영기법도좋고.
166,너무 기대를 안하고 봐서 그런가ㅋㅋㅋㅋㅋㅋㅋㅋ꽤 볼만했는데
167,재밌는데 ㅋㅋ
168,여고괴담5 보단 훨씬 괜찮은 영화같은데.. 전개도 빠르고.
169,장난까냐 ㅡㅡ 옛날 여고괴담보다 못하네 진심 쓰레기 
170,관객을 얕본 저질기획물. 근데 슬프게도 관객들은 이정도 수준을 받아줬다. 화난다.
171,공포영환데 무섭진 않고...
172,무서웠지만  ... 공포영화특유의 오싹함이 잘 표현된거같다
173,왜 전부 재미없다고 하죠 ?전 재밌던데 드라마에서도 화장하고나오는데 ? 님들이 억지
174,무서우면서도 짜릿할듯?! ㅋㅋ
175,좀 무섭><
176,기대하지도 않았는데 완전 대실망 내생에 최악의 공포영화 하나도 안무서움
177,처음에 사방으로 흩어져 도망가면 되는데 답답하게 만드는 영화
178,또시작이냐
179,너무 억지스러워서 손발이 오글거리는 영화.
180,너무 짜릿해서 좋아
181,평범한듯
182,헉
183,고사 너무 재미있음..제가초5인데 무서워서 4학년남자애한테기대서울어버렸음..
184,공포영화치고 넘 유치함 ㅋㅋㅋㅋㅋㅋ 대놓고 귀신출연? ㅋ 근데 귀신들 연기가 어색
185,별반개도 과분한영화.
186,집에서 봐서 다행이지....잔인하면 다 공포영화인가ㅡ
187,말이 필요없다.
188,눈뜨고 못봐줄정도.. 처음부터 끝까지 잔인하게 는것만 나옵니다.비위약하시면 토나옴
189,외국 공포영화 좀 보고 만들어라... 관객들이 어느정도 공감해야지..완전 허접..
190,완전잼슴ㅋㅋ친한친구만빼고다안죽엌ㅋ
191,무서워하지만 재밌어
192,한국 공포영화라 기대안했는데 재밌었다
193,이거 소년탐정 김전일에 교내 살인사건 이야기랑 80% 비슷~~
194,너무 무서워서 꿈에서까지 나왔어요 공포영화를 별로 안 봐서 그런가...
195,무섭다기보단 끔찍하죠 보고 토할뻔했어 ㅠ
196,오 최고네요
197,그냥심심해서봤음 . ㅋ비명으로시작해서 비명으로끝나네 ?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
198,dIair226 말함부러하지마라
199,보면서 조금은 실망스러운 면이 있어네요....한국인들은 겁나 무서운것을좋아하는데.
200,그나마 괜찮은 공포영화
201,이건뭐 명탐정코난 공포극장판이네
202,너무 유치하구먼요
203,무서워요
204,좀재밌어
205,아 진짜 잼없어...뭘 소재로 한 영환지 모르겠네...
206,잼없어ㅋㅋ 여주가 왜케 단역같이 느껴지지;
207,대한민국에 참 희한한 고등학교도 다있네
208,그나마 괜찮은 쓰레기
209,이 쓰렉이 영화 2편까지 만드니 어이가 없다 ...
210,반전
211,잼있는데 단지 꿈에서 나올만한 징그렁과 잔인함
212,공포영화계의 다세포소녀
213,쓰렉
214,그냥 잔인하게 보이려고 만든 따라쟁이 영화 --;
215,말이되는소리를해 그야말로 ㅆ ㄹ ㄱ ^^;;;;;
216,페르마의밀실 패러디.눈에뵈는것은피
217,한국판 쏘우!!!
218,이 영화 중에 남규리 팬티가 제일로 볼만 했음.
219,솔삐 웃긴영화 ㅋㅋ 모야 짜증나 마지막만 차라리 상영하시지? ㅋㅋㅋ
220,저렴한 영화다 공포? 빠른 전개에 엉망한 스토리 근데 왜 속편이 나올까?
221,반전이 좋았다 ㅋㅋ
222,이영화 별루예요...무서워요....
223,영화촬영 한곳 정말 2년전 페교됬던 곳이라  더 무섭다
224,멍미? 이건 공포영화도 아니고 스릴러도 아니고 추리소설을 쓰지그래
225,갑자기 딴 길로 빠져 왜
226,처음 상황설정이 너무 비현실적임 못나가는것도 그렇고... 통신이 다 끊긴것도 그렇고
227,난 재미있던데 ..
228,시트콤 여름 특집이냐?ㅡ
229,오늘 TV에서 봤는데  끔찍 하고 무서웠엄!!   금데 넘 재밌엄!!  그래도 신고 할거야!
230,극장가서 안보길 잘했다
231,전국에 모든 선생과 엄마에게 보여줘야함
232,말이되니?모두다 학교밖 동시에 나갔으면 되는거잖아 2명이서 어떻게 저런식으로 하니
233,흑흑 넘 무섭고 잔인하고
234,그냥뭐..
235,공부도 못하는데 운없게 죽은.. 지못미;
236,돈주고 볼만한게 안된다. 뻔히보이는 스토리전개
237,한국 공포영화는 역시..
238,재밌긴 한데 .... 엉성하다..
239,남규리의 연기력이 딸리고 예상가능한 결말...
240,스토리는좋은데 급하게만드느라 뭔가 엉성하다
241,고사
242,여고괴담 시리즈와 쏘우의 어슬픈 조합과 남규리의 발연기가 돋보이는 영화.
243,굳
244,노래종아
245,스릴러와 공포가 적절히 배합된 나로서는 진짜 무섭고 재밌게본 영화ㅋ
246,노래종아
247,불편하다
248,이런건 정말 그만 만들자 우리나라공포영화  수준을위해 좀 ..쓰레기도 과언은아니다.
249,영화를 썰어야...
250,스토리가 너무 쓰레기다 지킬건 지킵시다 악의 축이다
251,남규리는 미스캐스팅 그리고 내용도 그저그랬음
252,영화는 재밌던데 남규리 화장이 부담스러워서 몰입을 못하겠음..
253,이거 보고 무섭다고 하면 한국 공포 영화계는 막장중에 개막장이다...
254,그냥 배틀로얄 리메이크라고 말해
255,스토리에 좀더 신경을 썻다면........
256,무서워서 못보겟지만 재미잇을거 가츰 ㅡ ㅡ;;< 억지억지
257,제작비 저렴하게 잘 찍었다.하지만 억지스러움에 좀 감점
258,고딩 나온 영화치곤 재밌다. 여고괴담에 비하면 볼만한데? 사건내막이 웃겨서 그렇지
259,인물묘사/구성력 0점
260,이건 거의 19세관람가다.  미래영화배우 김지훈
261,이것들이...이게 재밌냐? 엉?
262,왠지 끌리는ㅋㅋ
263,아무리 영화라지만 이건 너무한듯...-_-; 진짜 말도 안되는 스토리.. 에혀...
264,기대 이하.. 뭔가 여러가지로 허술한 점이 많은..
265,왜 재밋엇는뎅
266,제법 신선한 소재를 그대로 말아먹는구나.
267,부족한점이 많았던 영화...
268,사운드만 크게하면 무서운 줄 아나..; 결말은 보는도중 예상.
269,진짜 재미없었슴.. 좀 무식한 영화..
270,제미없네요 더무서운걸찾아야지
271,솔직히 좀 허전하지만 영화 쏘우내용 이랑 비슷해요~!!
272,듣도 보지도 못하는 공식으로 문제 풀기!!!
273,더보고싶은데ㅠㅠ어떻게다운받죠재미있어요
274,그많은 인간들이 학교에 갇혀야하는 설득력있는 이유좀!!!!!
275,영화 보는내내 결말을 예상하게 해주는;;너무 뻔한 스토리네요..
276,이것도 영화라고 ㅡㅡ; 쏘우의 발끝도 못따라온다
277,못만든건 아닌데 개연성 없음. 사운드 최악. 대사 하나도 안들림. 반전 예상 가능.
278,슬프다... 이러한 영화가 한국에서 만들어졌다는게...ㅠㅠ
279,리뷰글보고 기대감없이 그냥 한번봤지만 정말 쏘우따라하다가 망한영화같네요
280,무슨영화가 초딩때700-9696전화애기로 듣는 스토리인줄......장난하나
281,어 완전 무섭다 세탁기 돌려서 죽이는거 완전 무섭다 나 그거 보면서 죽는줄 알았는데
282,어
283,하나도 안 무서움.. 스토리 짜집기에 반전 초반에 다 드러남..
284,진심 공포영화라고 만든건지 의문이 든다.
285,★내인생 최악쓰레기영화였다
286,이 영화 너무 무섭다. 또 너무 징그럽다.......
287,이 영화는 엄청무서워서 기절 한다
288,이것도 영화라고 만들었냐
289,솔까 공포는 덜했지만 재미는 있었다고 생각함
290,처음엔 쏘우?... 막 이랬는데 끝에서 반전보고 놀람.. 나름 재밌었음..
291,오글오글거리는 남규리의연기。
292,난 공포영화를 안좋아 해서 그런지 -ㅁ- 엄청무섭고 재밋긴하던데 ㅋㅋ
293,잔인하다고 다 공포영화가 아니다-_- 찔리고 터지고 부러진거 밖에 생각안난다
294,한국 학교문제를 비판한 영화인가
295,한번보면 두번은보고싶지않은 영화
296,따라하기에만 급급한 공포물
297,반전 좀 티나게 암시한다. 무섭진 않지만 퀴즈 소재는 괜찮음
298,공포영화 눈안가리고 맨눈으로 처음부터 끝까지본건 이 영화가 처음이다.
299,어설프다. 퀴즈라는설정은왜넣은건지. 그냥무차별살인이낫겠다.
300,n수생 준비중인 수위 아저씨에 삽질 플레이....
301,너엄넘어~~~ 따봉따봉~!~~ 완전이야...
302,잔인하기만 했음-_- 혼자봐도 안무서울 영화
303,남규리 너 만약 드라마 캐스팅 될때 넌 단번에 거절을 해라 너 연기 열라 못한다
304,굳!
305,규리야
306,재밌던데..평점 왜 이러지ㅠ 내가 공포영화를 잘 안봐서 그런가 신선하고 재밌었음!!!
307,볼만했어요 ㅋㅋ
308,역시
309,내취향..진짜 여고괴담이 재미있는사람이라고 = =;;
310,이거 보고 내용이 탄탄하대니ㅡㅡ 반전이 쩐대느니 하는 사람은 도대체 뭐니;;
311,한국영화는별로 못만드네;  무섭긴보단 어이없다?좀내용이 자세하지않고 어이없게끝
312,1점 주기도 아깝네 이건...
313,창감독님 다음엔 정신차리고 영화 만들라는 의미로 1점 줌 ㅋ
314,왠만한 영화는 잼있게 보는데 이렇게 잼없는 영화는 처음...  말 안되는점도 많고..
315,살행동기도 어이없고 신빙성없고 -ㅅ-
316,이건 공포영화가 아님ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
317,킬링타임용으로 볼만함. 여고괴담 신버전(여고괴담+쏘우+큐브)
318,전 꾀 재미있게 봤는데 ㅋㅋ
319,살면서 이런 쓰레기 공포영화 첨봄 재미도없고 무섭지도않고 잠만오고...이건 뭐ㅡㅡ
320,굿
321,한국영화라고 까지마라 사대주의 병폐
322,공포를 표현하는 것은 참 좋았는데 어딘지 약간의 부족하다는 느낌이.....
323,이건 뭐 쏘우도 아니고
324,어설픈 반전
325,10kg용량 드럼세탁기에 사람이 돌아간다는 것 부터가 코미디..보는 내내 코웃음만..
326,OOO기영화다ㅋㅋ쥣나웃겨이런거보고잼다는놈정신상태해부해보고싶다
327,마지막 반전 와우.. 어째꺼나 이범수 연기 ㅊㄱ乃
328,이거 쏘우삘나는데 재미없음. 보는데 유치해 죽는줄알았다. 뭔 공포영화에 좀비가나와
329,쓰레기 영화
330,인상적인 부분이 없다 .
331,무슨 얘기를 하는건지..보는 내내 갑~갑~하구만.-_-
332,좀 잔인하지만 완전 소름돗는다~
333,공포영화가 안무서워서 4점준다... ㄷㄷ 간만에 공포영화 재밌게 봤음 ㅇㅁㅇ
334,전재밌게봒어요ㅎ
335,이게뭐냐...암만 이범수 라지만...1점도 아깝다..
336,마지막에 미세한 트릭하나가 주어진다 또다른 반전이주어진다 이걸 이해하니 재밌었다
337,남규리보는 재미ㅋㅋㅋ공포영화치곤무섭진안앗음ㅋ
338,피해자 부모는 아이가 죽고나서 죽은것이나 다름없다.
339,정말 쓰레기 영화.... 불법 DVD 사서 보니깐 다행이지 영화관 가서 봤으면 큰일날뻔
340,보면서 아 잼없어를 연발한 영화- 돈주고 봤으면 눈물이 나왔을듯 ㅋㅋ
341,결국 주제는 뭐지
342,무서운것 보다 끔찍하다
343,결국 여고생의 부모가 저지른 건가 
344,잼잇던데.ㅎㅎㅎㅎㅎㅎ
345,허접한 공포 빼고 스릴러로만 밀고 갔으면 4점은 나왔다
346,피와 살육으로 얼룩져가는 아름다운 복수의 향연.
347,난 이런 b급 학원 공포물이 좋더ㅤㄹㅏㅋㅋㅋㅋ어느날갑자기 시리즈 중 디데이랑 살짝 비슷
348,뮤비감독이찍은영화여서그런지뮤빌보는듯한느낌이었던~극의 개연성도 떨어지고
349,잔인한게 좋음 ㅋㅋㅋㅋㅋ
350,난이영화괜찮던데 ㅋㅋ 무서운 건 없지만 잔인한 건 있었는데 ...흐음 ~
351,신선하고 나름 흥미롭던데...남규리 연기 처음 치곤 괜찮던데 뭘
352,은근히내용탄탄하고재미써요!
353,엉성한상황전개
354,남규리.... 너 연기하면.... 진짜 죽는다 ㅡㅡ
355,진짜 귀신보다 더 귀신같았던 남규리말투랑 표정..아오
356,뭘보라는거에요ㅋ 네??? 영화괜찮더만 모자이크가 그게뭡니까 ㅋ 평점 두개쓰게만드네
357,씁쓸한 한국 학교 사회...ㅠㅠ
358,중간에 수위가 범인이라는것을 눈치챘는데 애엄마까지 동원된다는것은 억지가..
359,시사회갔었는데
360,무서우면서 재밌음
361,내 생에 최고 쓰레기 영화
362,영화관 앞에서 봐서 쫌 무서웠음 ㅋㅋㅋㅋㅋ
363,이거 코믹영화죸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ??
364,집에서 봐서그런지 깜짝놀래키는 장면은 별로없었던듯
365,쏘우를허접하게따라해서귀신영화인지살인마얘기인지도모르겟고멀말하려는영환지..;
366,입시지옥
367,반전이 짱이듯..킥킥 나나나나나 범인 맞춤..키키키키←ㅈㅅ
368,스토리만 좀 다듬었으면 괜찮았을거 같은데
369,다양한 방법으로 갈등을 일으킴으로써 창조성에서 5점정도를
370,어슬픈 한국판 쏘우. 5점정도가 적당할듯..
371,재밋눈데
372,재미있었다. 한국영화치고는..
373,글쌔 난 정말 끼워 맞춘듯한 스토리가 정말 별로였다 사건전개도 맘에 그닥..
374,미안하다. 영화때문이 아니라 앤딩 라면컷이 더 무서워서 10점 준다.
375,나름 노력한 흔적은 보이지만.. 한국공포영화의 한계인가.ㅉ
376,너무 순간적 반전이 없다
377,그냥 그럭저럭..  약간 스토리가아쉬움
378,역시 한국영화
379,재미씀
380,억지 스토리 ㄹㄹㄹㄹ
381,재미있어여
382,우와....희한한 영화다...할말을 잃었다...
383,좋아요##
384,뻔히보이는 반전과 유치썰렁한 엔딩
385,진짜 기대이하
386,낚이지마라
387,재밋긴한데(초3이?)무섭지는 않고 9점을 준건 약간 이해가안되는 부분이 있더라고요.
388,남규리있다 10점
389,여러영화를짬뽕한듯한.촛불은여자의몸에해서낙인을찍어야지
