,content
77,본인보다는 남을 희생하자
78,신선한 소재. 입꼬리 올라가는 모습은 진짜 계속 머리속에 떠다님. 짱나
79,알바의 끝은 어디일까ㅋㅋ
80,겟아웃을 너무 재밋게 봐서 믿고 관람 했는데 유치하고 내용도 밑도 끝도 없고 진짜 지루했습니다
81,주작 오지시네요들 풉풉풉풉
82,관객수가 답을 알려준다 이건 답이없어 알바생들 수고한다 ㅇㅇ
83,올리비아 개쓰렉...
84,진실 혹은 도전이라는 소재는 좋았으나 그 외에 볼 거리는 없음
85,무서운데 재밌기도 했어여 ㅋㅋ 내 스타일임
86,헐 숨막히는 호러...심장 멎게 하는 영화..
87,끝까지 집중할수있었던 영화인것 같습니다
88,넘나잼썻어여 각본 창의력 칭찬해근데 보다보면 암걸리기도하고 하여튼뭘자꾸싸워 OO짜증나게 그냥서로이해하면되지아빡치네진짜
89,볼만함 무서운거 좋아하는 사람은 그닥일거 같고 걍 쫌 놀래고 쫄리고 이런쪽
90,며칠간 눈감으면 그 표정이 생각났다
91,영화의 결말이 끝난 후 더 궁금해지는 영화
92,꽤 괜찮은 영화인것같음
93,결말이 좀 그르지 재미따 일점주는 ㅅㄲ들 다걸고  알바다
94,내가 피곤해서 그런가..? 왜케 못보겠지.. 이거 진심 재밌음?
95,초반엔 볼만한데 뒤로 갈 수록 뇌절해서 지겨운 영화이자 로맨스인지 공포인지 코미디인지 짬뽕 B급 영화
96,제작사  믿고 보다 지겨워 잠 들다
97,지루. . 지루. . . 노잼
98,예상치 못한 반전이 있습니다
99,파이널데스티네이션이랑 비슷한 흐름임
100,인간의 참도덕성을 보여주는 영화네요 누구든지 저상황에서는 그럴수 밖에 없을것같아요
101,긴장감 대박!!무서웠
102,1점 참트루 자 이제 너는 데어
103,마지막이 소름끼치는영화
104,멕시코 사람 전부를 죽일 순 없어 
105,왜 영화 시작이 결말 이라고 한줄 알겠다 하나도 안무서워
106,개재미없습니다~~~
107,기억나는 건 Truth or dare
108,소재나 진행 방식은 나쁘지 않았지만 결말이 아쉽다. 또 뒤로갈수록 진행에 몰입도가 떨어지고 스릴감또한 떨어져 아쉬웠다.
109,기대안하고보면 신선한 소재의 영화
110,결말이 허무해쇼요오오
111,미관람( 시간
112,악마 : 그건 생각도 못한건데..개꿀
113,누구라도 저 상황이면 도덕적 딜레마에 빠진다
114,이런 설정 무섭고 재밌을것 같은데....
115,너무 유치해 일본만화를 실사로 옮긴듯한 느낌? 차라리 파이널 데스티네이션6를 만들지...
116,알바드립 질리지않았나요다들..걍재밌던데
117,영화가 관객들을 플레이했다
118,재밌음 다시보고싶은영화!!
119,어처구니없는 폭탄돌리기로 빅똥을 던져주는 올리비아..
120,후속작이 나오기엔 너무 판이 커져버렸네..
121,아니 도전을 골라서 진실을 얘기하게 하는 건 좀 심하네. 그럼 진실이랑 도전이랑은 왜 나눠 쌉사르디스같은 악령아
122,타노스 다음은 캘룩 캘룩..쓰으 가래가..
123,공포영화가 아니다. 10대 스크림같은 영화다
124,우리가 예전부터 잘 알고 있던 놀이나 노래는 전해져 온 시간이 깊다. 근데 정작 그 놀이의 유래는 그 누구도 모른다. 그 부분을 생각해보면 이 영화는 소름이 돋는다. 내가 알고 있던 놀이에 섬뜩한 이야기가 있다는 거...
125,진실 혹은 거짓 집에서 즐겁게 볼 수 있는 영화
126,재미있았아용 ㅎㅎ하하하
127,예상했던것보단 안무서워서 의외였던 영화
128,그냥볼만해여 결말? 그냥급하게마무리
129,개무서웠다... 진짜
130,난 재밌게 봤음ㅋㅋ 한번쯤 볼만함
131,토마토가 항상 맛있는 거 아니야
132,감독은 재앙 앞에서 인간의 도덕성이 변화하는 것을 보여주고 싶었겠지만 정작 보여준건 수 많은 키스와 베드신....
133,나름 괜찮긴 한데 좋은 아이템 못 살린 느낌
134,소재가 신선했어요 재밌어용
135,공포와는 거리가 있고 제목대로 직설적인 게임의 법칙에 관한 영화이다. 플롯은 최근의 유행을 그래도 따라가는데 끼워맞추기를 하다보니 중간부터 물러터진 클리쉐를 남발한다. 인상적 일수도 있었던 엔딩 찬스를 허무하게 날려...
136,마지막 결말 응?집에오면서 언니랑 계속 그표정 지으면서 트루스오어데어 이랬더니 하지말라고 혼남
137,보지마셈 렬루 돈아까워
138,대단한 스토리라고 말할순 없지만 몰입감이 있어서 볼만하다영화가 끝나면 저 표정을 따라하는 남친을 만날 수 있다
139,막그렇게까지재밌다거나무섭다거나그러진않았음그냥 평범한 외국 스릴러영화
140,인터넷에 돌아다니는 B급 공포 스릴러 영화 다운받으면 딱 그에 견줄 만 한 영화. 그 이상도 이하도 아님..
141,마지막 반전은 통수였다..
142,진심 계속 소름돋고 너무너무 무서웠음...잘 만든 공포영화
143,[2018-6-3/16:25] 주먹구구식으로 찍어내는 듯한 설정과 멍청한 주인공들이 긴장감을 없애버린다.
144,악 괜히 봄... 허접한 내용.
145,신박한 소재와 마지막 여자 주인공의 대단한 두뇌
146,전형적인 네티즌들의 숨은 의도를 뻔하게 보여줌 착한사람증후군에 걸려서 항상 도덕적인 측면에 빠져있는 사람들이 극한상황에서 어떤 모습을 보여주는가는 신선 그 자체
147,재밌는데 ㅎ 왜들그러지?
148,4점영화인데 평점너무높아서1점준다 전형적인 하이틴 무비에 스토리 및 주인공의 이중성까지 최악
149,댓글알바 아니고 영화 보는내내 졸림 없고 스토리 잘 흘러감 대신 결말이 좀 ㅂㄹ
150,진실 혹은 도전
151,드루킹 형님이 이렇게 작업하셨으면 월급 한푼도 못받았다.ㅋㅋㅋ
152,진짜 영화의 장르를 모르겠던 영화 무서운장면도 별로없고 그렇다고 또 재밋는부분도 없던 영화 정말 애매한영화
153,너무재밌었음 일단 여주 개성있게 예쁘고 입고나온 옷들도 넘 이뻐서 보는재미가 있었음. 내용도 단순하면서 적당히 스릴있고 결말도 독특해서 맘에듬 근데 그 입찢어지면서 웃는얼굴은 괴기스럽다기보다 웃긴듯
154,나도 모르게 헉 소리를 몇번이나 한건지..
155,조금 아쉽지만 재밌었어요
156,이게 재밌다는 사람들은...하 됐다ㅋ
157,도대체 이거 재밌다는 사람들은...뭐죠??정말 편견없은 사람들...휴
158,이게 8점??? 이해가 안가네 ㅋㅋㅋ 질질 끄는 설정.. 너무 지루하더라 ㅡㅡ
159,공포영화 사상 가장 멍청한 주인공들을 볼 수 있다.
160,마키한테 올리비아한테 종쏘라고 했을때 거부해서 악마가 마키몸에 들어오고난후(표정변화후) 총솼는데 미션성공??? 마키 자신이 한것도 아닌데??? 짜증나고 답답했던 무섭지도 않고 억지스러움에 지친다~  소재만 신선......
161,결말이 좀 ??하긴했지만 현명한거같기도하고 스릴있고 재밌었어용
162,옛날에 즐겨보던 데스티네이션 느낌도 나구~~ 괜찮아써요 시리즈물로 나왔으면 하는 분들도 계시던데 나쁘지 않을것 같네요
163,음..   너무 기대를 많이 했네ㅜㅜ깔끔은 해요
164,평점 믿고 도전 했는데....진실은 뻥이네
165,뭐지 이 옛날틱한
166,재밌었는데ㅋㅋ 솔직히 많이 무섭진 않은데 재밌긴 함ㅋㅋ 하나도 안 지루했고 참신했음. 하지만 남친은 무섭다고 난리 난리였음ㅋㅋ 겁 많은 사람들은 무서운가봐영
167,공포영화는 역시 극장에서 봐야 꿀잼..
168,너무 큰기대를 했던걸까
169,요강이니 지리니 하는 너희들 진짜 나쁜애들이구나
170,알바색기덜아 니들 진짜 알바티 너무 난다 ㅅㄱ
171,공포 영화가 아닌 막장 드라마 한 편 보고 나옴.
172,별로에요ㅡ 결말도 쩝....
173,존잼이니까 봐라ㅋㅋㅋ
174,개뻔하고 개암걸리는 등장인물들
175,이 영화를 선택하는 순간 당신의 패배
176,신선하고 보는내내 지루하지않았어요!!
177,컨져링 발락과 이어지는줄 ㄷㄷㄷ;;
178,소오름 
179,본사람은 안다.. 평점알바의 진실을
180,보다가 뛰쳐나간 영화는 살다살다 대립군 이후 첨이다. 최악이였음 핵노잼
181,일단 시험기간에 봐서 너무 재밌었음
182,개연성은 개나 줘 이지만나름 재미있는 소재에 나름 신선한 엔딩
183,여주가 볼수록 암걸리지만 몸매담당 친구때문에 볼만했어요 킬링타임용으로 좋음 데스티네이션 같은 영화임
184,생각보다 재미있었어요
185,0점 주고싶다.뭥하루종일 진실혹은거짓 이러고끝
186,넷플릭스로 봐서 그나마 다 본것같아요
187,10초씩 돌려보며 봤다
188,진짜 노잼. 넷플릭스에 나와서 봤는데 존나 넘기면서 봄. 결말도 노잼.
189,하이틴에 호러가 접목된영화
190,마지막에 루카스가 진실택하고 말하는사이 혀잘랐으면 다살았을듯
191,꽤 신선한 b급 공포였어요. 웃는 표정이 소름이네요
192,청불로 만들면 더 재밌었을 듯. '도덕적'인 건 말로는 참 쉽다는 걸 느낌.
193,그냥 영화 요소 생각안하고 보면 개꿀잼 영화
194,도전보다도 두려운 진실게임의 내면
195,진짜 잼있게 봄 ㅎㅎ 대박임
196,흥미롭고 신선한 소름돋는 영화...
197,유튜브 무섭다.... 그리소 여주는 머리 진짜 좋은듯올레 tv에서 결제해서 봤습니당
198,올만에 볼만한 공포영화 였다는..
199,완성도있는 호러무비는 진짜 오랜만에본다. 끝까지 스릴있네 다만 아쉬운것은 급하게마무리한 느낌을주는 결말
200,신선한 소재
201,결말이 신선하다. 굿~
202,수작이자 명작이다 영화매니아라면 무조건 봐야함
203,낮선 사람을 가까이 하면 안된다는 걸 알려주는 영화!카터도 나쁜넘이지만 올리비아도 결국 똑같뇬이 되네!올리비아가 게임을 알렸으니 혀자르고 주문외우면 봉인되나?신선하지만 특별하진 않다고 해야되나 킬링타임정도 된다.
204,데스티네이션이랑 비슷한 느낌나네
205,클리셰 덩어리의 그저그런 헐리웃 영화라 생각하고 기대안하고 봤는데 의외로 몰입되고 괜찮았다. 물론 억지스런 설정과 진부함은 있었지만 주어진 틀 안에서 나쁘지않게 구성했다. 무엇보다 좋았던건 주인공의 위선을 비꼬는 결...
206,잼잇엇다 무엇보다 신선햇음
207,이정도면 재밌는거지
