,content,,,,,,,,
63,내가본b나 c급 영화만큼 재미없다 초반엔 졸앗고 후반에 재밋어지려던 장면도 허접한 악마가망침,,,,,,,,
64,자막제작자가 써놨듯이 막장임.,,,,,,,,
65,긴장감은 있지만 재미는 엄따...글구 난 이렇게 카메라 흔들면서 찍는거 싫어함,,,,,,,,
66,이제 시작이라고 생각할때쯤이 마지막이였다니... 어이가 없는건지 쩔어줬던건지..,,,,,,,,
67,그다지...,,,,,,,,
68,엑소시스트로 시작해 오멘으로 끝나는 주제의 일관성이 없는 3류영화..,,,,,,,,
69,엑소시즘 사후세계의 소스들이 얼마나 많은데 소스 활용을 개같이 했네,,,,,,,,
70,라스트 엑소시즘(X) 워스트 엑소시즘(O),,,,,,,,
71,공포영화치곤 조금 지루하네요..,,,,,,,,
72,페이크다큐치곤 평작정도? 수작도 망작도 아닌...,,,,,,,,
73,성의없는 결말만 조금 고쳤어도 어땠을까,,,,,,,,
74,왜 1위를 석권했는지 모르는 영화다;,,,,,,,,
75,은근하기는 하나...그게 전부임...,,,,,,,,
76,진짜오랫만에본 어설픈쓰래기 영화다!!!,,,,,,,,
77,은근히 공포감이 오는듯. 그다지 추천은쫌;,,,,,,,,
78,다큐마냥 실화보는것처럼 재밌게보긴했는데 마무리가영..그래서뭐어쨋단거지,,,,,,,,
79,초중반까지의 진행은 페이크 기법의 장점을 보여주지만 마무리가 엉성하다,,,,,,,,
80,영화의 내용이 상당히 무섭다,,,,,,,,
81,그냥 영화의 결말로는 충격적인데,,,,,,,,
82,솔찍히 이건 아니잖아 응?,,,,,,,,
83,내가 본 페이크 다큐중에 젤 후잡하다..최악...,,,,,,,,
84,ㅅㅂ 이것도 영화라고............,,,,,,,,
85,결말이 애매모호한것 빼곤 괜찮다,,,,,,,,
86,파라노말 액티비티의 흥행을노렷나..ㅡㅡ실망인데;;,,,,,,,,
87,반전은 봐줄만 하다. 하지만 페이크다큐라서 시종일관 더 않무서웠던 영화.,,,,,,,,
88,기대하고봤더니 실망이 크네요 ;,,,,,,,,
89,나름 신선한 스토리를 잘 풀어가나 종반에 와서 관객의 뒤통수를 어이없게 후려친다,,,,,,,,
90,다큐형식이라서 공포감이 더욱 큰 듯하다,,,,,,,,
91,이딴공포영화도있나 그돈으로 밥먹을껄,,,,,,,,
92,존나 재미없어 포스터만 볼만함,,,,,,,,
93,이깐게 공포물이여?   ㅎ,,,,,,,,
94,신은 믿지만 악마를 믿지 않는 목사의 어리석음을 한없이 꾸짖고 있다.,,,,,,,,
95,초중반까진 흥미롭게 잘 그리다가 중후반부턴 그냥..머.. 허무하게 마무리하네,,,,,,,,
96,고양이가 귀여워서 세개,,,,,,,,
97,난 이런쪽에 흥미를 가지고 있어서 그런지 재밌게 봤음 굿굿,,,,,,,,
98,도대체 이게 뭐가 긴장감이있고 뭐가 충격이라는거여...,,,,,,,,
99,재밌게봤어요. 영화관에서 돈주고봐서 그런가,,,,,,,,
100,동종업계 최악의 영화 폐가를 능가할 뻔 했는데 아쉽군,,,,,,,,
101,몰입도 괜찮고 영화 나쁘지 않음,,,,,,,,
102,박쥐마냥 기독교와 무신론을 가지고 노는 영화,,,,,,,,
103,정말 기대 이하임..보면 완전후회할지도...,,,,,,,,
104,뭥미?,,,,,,,,
105,페이크성 다큐도 용서가 안되는데 무서운 공포도 없고 에밀리 로즈를 대신할 수 없다,,,,,,,,
106,보는내내 긴장하면서 봤는데..그래서 목사는 악마랑 싸우러갔다가 어뜨케 됐다고.....,,,,,,,,
107,예고편이 다엿어...........,,,,,,,,
108,이걸 스릴러라고..... 아오,,,,,,,,
109,이것도 영화라고 만들었구나...,,,,,,,,
110,뭐 이런 막장영화를 봤나,,,,,,,,
111,ㅡㅡ이씨 영화관에서봤으면돈아까웠을영화ㅏㅏㅏㅏ,,,,,,,,
112,고사보다 100배 괜찮은...,,,,,,,,
113,더도 말고 덜도 말고,,,,,,,,
114,아놔 이런쓰레기를봤나 결말도 그렇고 보는내내지루하고 이런x,,,,,,,,
115,다들 매너는 굿이네,,,,,,,,
116,이런 카메라 기법 너무 짜증. 광고의 10%도 못믿치니는 영화.,,,,,,,,
117,악마와 사이비 어느게진실일까,,,,,,,,
118,공포치곤괜찮았다. 지루하지않고 봤으니머..예상못한 반전 ㅋ,,,,,,,,
119,맨마지막에 어두워서 뭐가 어떻게 끝낫는지를 모르겟네,,,,,,,,
120,이건 뭐 예능에서 하는 쓰레기 공포특집보다 못하네...,,,,,,,,
121,??왜 재미없다는거?? 파라노말하고 비슷한 공포를 느낀듯 ㅋ,,,,,,,,
122,페이크 다큐,,,,,,,,
123,막장이 대세라더만...잘나가다가 왜...,,,,,,,,
124,도대체 평점이 이영화왜이렇게 높은거지? 도대체 시간아까워죽겠다 다운받아본내돈도.,,,,,,,,
125,친구가끝까지졸라서보러갔는데욕이절로나오드라;;진짜돈아까움ㅡㅡ,,,,,,,,
126,페이스다큐가뭐냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ페이크다큐지 진짜무식한티낸다,,,,,,,,
127,페이스다큐인줄 몰랐다..그냥 영화인줄만.볼만은했다 초반에지루하다 좀 볼만하니까끝,,,,,,,,
128,다들 알바인건가 다같이 1점주네 ㅡㅡ; 지금평점이 딱괜찮은거같다.,,,,,,,,
129,장난치냐 ~~~~~~~~~~,,,,,,,,
130,1973년도 39년전의 영화가 딱 1000배 더 재미있습니다. 농담아니고 과장안했습니다.,,,,,,,,
131,역시 엑소시스트 1이 최고.,,,,,,,,
132,케이블 티비 엑소시스트나 보세요..ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
133,악마보다 더 무서운 '알바',,,,,,,,
134,아 이건뭐지,,,,,,,,
135,뭔가 많이 아쉽군요..,,,,,,,,
136,엑소시즘 이란 단어가 좀 아까움... B급??,,,,,,,,
137,소재는평범 소리로 깜짝놀래트리기,,,,,,,,
138,아...진짜 열받어.......시간 아까워서...,,,,,,,,
139,영화면 영화?다큐면 다큐?다큐인것처럼 가지고 노니,,,,,,,,
140,정말 포스터가 전부인 이런 영화 첨봄..발가락으로 만들어도 이것보단 잘 만들겠다,,,,,,,,
141,마무리는 클리셰로,,,,,,,,
142,이런 3류 영화 같으니라구...기대해서도 궁금해서도 보면 무조건 후회할 영화,,,,,,,,
143,아..진짜 알바가 있긴 있구나...볼 사람은 봐라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,
144,한마디만 하죠 최악중에 최악임 이건평점 다내려버길수도없고 ㅠ,,,,,,,,
145,내인생 최악의 영화^0^ 내인생 86분을 환불해주세요^0^ 아놔,,,,,,,,
146,엑소시즘 아류작 포함 최악,,,,,,,,
147,뭔놈의 알바들이 이리도 많노...엑소시즘이라는 대작에 먹칠을 해놔도 유분수지...,,,,,,,,
148,흥미진진했다. 결말을 예측할 수 없었던 영화.,,,,,,,,
149,장르가 공포잖아. 근데 왜 안무서운건데... 왠만한 스릴러만도 못해. 많이 모자라.,,,,,,,,
150,난생처음별두개미만으로주긴첨이다ㅅㅂ쓰레기영화.레알...평점뭥미ㅡㅡ,,,,,,,,
151,즐기기용 공포영화가 아니다. 생각좀 하면서 보자..보는 내내 흥미롭게 잘봤다.,,,,,,,,
152,OO 욕 밖에 안나오네. 엑소시즘오브에밀리로즈영화의 발톱도 못미치는 영화,,,,,,,,
153,존나 개 똥꼬같은 영화네,,,,,,,,
154,영화참 진짜 저렴하게 만드네.......절대보지마시길 재미하나도없네 ㅅㅂ,,,,,,,,
155,결말빼곤 다좋았는데....,,,,,,,,
156,재미 없음...,,,,,,,,
157,난 4개 결말과 모티브는 좋았지만 왠지 너무 지루했다,,,,,,,,
158,평이 극과 극이구나. ^ ^ 복선이 깔린 와중에 엔딩이 압권이었다.,,,,,,,,
159,긴장감 조성은 좋지만 뭔가 결말은 황당한듯,,,,,,,,
160,별 특색도 없고..많~이 밋밋..,,,,,,,,
161,아이고 이게 뭐여 마지막이. 그래도 놀래키긴 하네,,,,,,,,
162,너무 블레어 위치를 의식해서 결말마져 비슷하게 가버린게 흠이지만 1점이라니?,,,,,,,,
163,첨으로 평점 씁니다. 파라노말액티비티 어설프게 따라했네요. 별 한개도 아깝습니다.,,,,,,,,
164,쵝오입니다. 꼭꼭꼭 봐주세요. 특히 연인과 함께 -_-a,,,,,,,,
165,참,,,,,,,,
166,1점주는 알바가 있긴 있구나.. 저렇게 한꺼번에 티나게 줄수가 -_-,,,,,,,,
167,몇페이지 뒤까지 한꺼번에 다 1점이고,,,,,,,,
168,나도 후기 안남기는데 ㅡㅡ 뭐이딴게 잇음 기대 이하임 이하!!!! 이게 영화냐,,,,,,,,
169,정말 첨남김... 평점남겨야 겠다고 결심하게 만든 영화...,,,,,,,,
170,왠만하면 후기 안남기는데,,,,,,,,
171,1.여자소녀가 너무평범하게생겼음. 2.엑소시스트나 블레어위치에서 다써먹은소재,,,,,,,,
172,참...OO스럽다..ㅋㅋ,,,,,,,,
173,체조선수냐? 뒤로 잘 제껴지면 무서운거냐? 완전 쓰레기임,,,,,,,,
174,반개도 아깝다.,,,,,,,,
