,content
54,이 영화 진짜 대박인데 .. 평론가들? 이라고 지들이 불르는 사람들 평점리뷰보면 ㅋㅋ 웃긴다 ㅋㅋ 누가 누가 더 멋있어 보이게 쓰나 시합하는중 ㅋㅋ
55,고전의 반열에 들어도 될 영화.영화의 아름다움은 원작소설의 기괴함과는 다르다.여름에 본다면 필히 에어컨을 풀로 틀어놓고 보시길
56,어두운밤하얀눈위에 니가 내려 앉았다.차가움이 차가움을 만나면 비로소 따뜻해진다는걸 너를 통해 알았다.너는 다만 내게 왔을 뿐
57,잔잔하고
58,어떻게 보면 가장 슬프고 비극적인 결말이 아닐까
59,현재가 아름다운게 중요한게 아닐까 생각한다. 미래를 예측할수 있지만 진짜는 아무도 모른다.
60,2008년에 처음보고 진짜 몇 번이고 다시 본 영화. 그렇게 시리게 하얀 겨울은 정말이지...
61,포스터하고 포토만보고 카레 헤레브란트가 뱀파이어 소녀인줄 알았는데 아니였다 ㅠㅠ.. 영화는 최고였습니다..
62,...
63,사귀는게뭔데?  지금이랑 똑같은거면 사귈래~ 다른 이질적인 존재를 내 안으로 받아들이는것~ 모든 사랑은 그렇다는걸 보여주는 영화
64,별점을 10점까지밖에 줄수 없는 시스템이 안타깝다.
65,감상은 여러가지가 있을 수 있으니 그냥 그러려니하니고 받아주세요. 어떤 평론가가 이 영화를 인생영화로 꼽았다기에 봤는데
66,아빤줄 알았는데.. 대박.. 평점보고 알았음
67,평론가 평점이 8.75인데 왤케 낮엌ㅋㅋ 갠적으로 엄청 재밌게 봤는데ㅋㅋㅋ 이 영화 단연 최고입니다. 꼭 보세요!!
68,모든 장면이 시리고 가슴 아리다. 애처로운 두 외톨이의 종착역은 결국 서로다.
69,뱀파이어가  나오는 영화를 이렇게 표현할 줄 이야.. 잼있다.
70,별생각없이틀었다가 끝까지보게되네.. 휴
71,뱀파이어 영화는 이렇게...
72,원작의 주인공들이 몰입도가 더 좋고.. 왠지 남자도여자도아닌 이엘리의 캐릭터를 잘잡은듯...
73,순수하지 않은 환경에서 순수하기란 정말 어렵지
74,유럽 영화는 너무 사실적이어서 몰입이 잘되는듯 폭력적이고 자극적이기는 하나 그걸 예술로 승화시킨듯 엘리가 그르렁 거리는 소리에 귀기울여 보세요
75,여자뱀파이어가 아니야 남자임 OO 거세당한거 못봣냐
76,아니 평점 뭐냐? 왜 스포함? 거기에 좋아요 누른 OO들은 뭐지?
77,흰눈처럼 가슴 아리고 겨울바람처럼 소름끼칠듯 선명한 기억으로 남아있을듯한 영화. 미국판보다 확실히 진한 여운이 강하게 남는다. 또한 벗어날 수 없는 모두의 그 지독한 운명에 그저 위로해주고만 싶어진다.
78,영화를 다시 볼까 말까 하다가
79,잔인하다 못해 거북한
80,헐리우드에서 느낄수 없는  아련하고  향기나는  너무 매력적인 영화 ..
81,결국 그는 그녀였고 그녀는 그였다.
82,호러영화를 잘못봐 그전부터 알고 있었던 렛미인을 왜 이제서야 봤는지 못내 후회스럽다.
83,몽환적이며 안타까운  동화같은 이야기....
84,내가 제일 좋아하는 영화
