,content
80,처음시작부터 결말까지 촌스러운 연출과 예상되는 갑툭튀로 버무려진 컨져링 시리즈중 가장 개 떵같은 작품 충분히 무섭게 만들수도있는데 연출이 다 망쳤다~~히어로물같은 효과음도 한몫함
81,와 개 꿀잼.꼭 보세요ㅋㅋㅋ
82,악령이라기보단 좀비괴물과의 싸움 같았다..총맞아죽는 귀신이라...;; 그래도 분위기는 무서웠음 루마니아와 수녀원이란 배경
83,꼭 필요한 외전중 하나네요.   무서운걸 잘 못보는 편이라 그런지.. .전 재밌게봤어요    너무 무섭던데;
84,좀 막장이긴한대 최근에본 공포 영화중에선 최고였다
85,호불호는 갈릴 수 있겠으나
86,나무에 목매단 좀비 나오는 순간 아 ㅈ망이다 직감햇는데 예상이 빗나가질않았네
87,스토리는 전작들에 비해 약한데 첨부터 끝까지 숨쉴 틈이 없다..
88,더넌 누가 지릴정도로 무섭다햇어 발락 패버릴라
89,무서워용 깜짝놀랐고 앞으로 이 시리즈물 잘챙겨보고싶네요
90,개봉 당일 아침부터 갑자기 10점 평점 막 올라오는건 무엇..? 예매하려고 평점 눌렀다가 급신뢰도 떨어져서 포기함.
91,어째서 컨저링 유니버스가 좀비물로 변한거냐.... 주인공에대한 직접적인 터치 없이도 특유의 분위기로 공포감 주는게 이영화의 매력이였는데 이번꺼는 공포와 어드벤쳐사이에서 길을 읽은 영화였다.
92,무섭다는 말밖에 안나오는 ㄷㄷ 보는내내 긴장했더니 어깨가 아픈 ㅋㅋ
93,컨저링의 완성도를 한방에 나락으로 떨어뜨리는 영화...ㅠㅠ정말 충격과 공포 그 자체의 영화입니다. (이걸 돈주고 봤다는 그 자체가 충격과 공포네요...ㅠㅠ 통신사 멤버십으로 무료로 봤는데도 돈이 아까운 느낌이 드네요...
94,나는 이 영화의 수녀보다같이 옆에서 보는 친구의 입냄새에 더 두려움을 느꼈다
95,발락...나혼자오길잘함 신랑왓음 기절각...
96,이거는 그냥 좀비물임 별로 노잼이었음
97,나 공포영화 매니아라서 다 챙겨보고 혼자서도 잘 보는편인데 더넌은 너무 무서워서 머리가 지끈거린다하도 웅크려서 목에 담걸렸어요
98,영화자리
