,content
52,망할 할망구 빌런이 대출기한 연장 해달라고 지 혼자 무릎 꿇고 사정하다가 주변 사람들이 쳐다 보니까 모욕감을 줬다면서 저주 거는 영화 ㅋㅋ
53,잼 있긴 한데 여주인공은 그냥 자기일한건데 ㅋㅋ 저런 저주는 너무 가혹한거 아녀 ? ㅋㅋ  그리고 할망구는 그거좀 거절 당했다고 ㅋㅋ 온갖행패에 영혼까지 ㅋㅋ 집시들 마인드는 도둑놈 마인드가 많아서 그렇게 유럽에 소...
54,여주 저거찍고 얼마받나 무덤씬 개고생
55,내가 20대 초반때 이영화보고 진짜 한달정도 충격에서 헤어나오질못했다. 반전영화 너무 좋아해서 이것저것 많이챙겨봤는데 내인생중에 최고로 임팩트강하고 여운이 오래가는 반전은 없었음...마지막 장면은 지금 생각해도 소름...
56,죄에  비해 벌이 너무 크다
57,여주인공 전나불쌍하다 돈안빌려줫다고 죽을때까지 좆아가넼ㅋㅋ
58,ㅎㅎ 역시 셈 레이미 재미있네요 ㅋㅋ 마지막에 반전이 ㅋ 주인공불쌍해 ㅠ
59,잼있어 누가 뭐라해도 최고의 공포영화 top10
60,오오오.... 굉장히 재밌게 봤음ㅋㅋㅋㅋ근데 평점보고 놀랐다는...겨우 7점;;;? 8점은 받아도될정도의 공포영화임...!!!
61,님들아 이거 개그로가는거에요 ㅋㅋㅋㅋ샘 레이미감독이 원해그럼 ㅋㅋ진지하게보지마세요 ㅋㅋ
62,여주가 이렇게 불쌍해보이긴
63,일 열심히 하는 귀염둥이를 왜 쳐 괴롭히고 OO이냐??
64,할망구가 아주 질 나쁜 X인듯~~ 기운도 세더구먼.. 일해서 대출금이나 갚지
65,대충 예상은 했다만
66,영화는 나쁘지 않았는데 여주가 무슨 잘못한것도 없는데 어거지로 나쁜 사람 만들어서 1점 준다.. ㅠㅠ
67,완벽한 병맛 공포~!!!
68,재밌긴한데.. 여자가 너무 불쌍하다
69,이블데드 처럼 주문과 손 한번의 터치로 악귀가 되네 샘 레이미 감독의 작품중 특징들
70,여주 너무 불쌍하던데.. 솔직히 잘못없잖아
