,content,,,,,,,,,,,
52,난 공포물 매니아. 웬만해서는 놀라지도않고 귀신이 귀여움. 근데 애나벨2는 역대급임. 보는 내내 심장이 쫄깃한걸 넘어 쪼그라들음. 휴 ... 영화관에서 보는걸 추천함.,,,,,,,,,,,
53,컨저링2보다 무서워요 진짜;;,,,,,,,,,,,
54,지렸다 올여름 최고 빅공포,,,,,,,,,,,
55,왜 진짜 딱봐도 들어가면안대는곳을 들어가서 사람심장쫀듸쫀듸하게 만드냐고 ㅡㅡ,,,,,,,,,,,
56,공포영화 매니아 엄마와 미쳤다는 소리를 몇번을 한건지 모르겠다.. 영화관에서 보실거면 음료수와 팝콘 마시는 타이밍 조절잘하세요 에이드샤워한 1인...,,,,,,,,,,,
57,와진짜 엄청무섭고 재밌고 걍 팝콘안사가도되요 날라다닙니다 강추,,,,,,,,,,,
58,영화장면에놀라고 뒷사람비명소리에 놀라는것만 10번이넘어서 나중에 심장아파지는것같았어요.. 뒤에서 버터오징어뿌린놈 잡히기만해봐라,,,,,,,,,,,
59,뭐랄까 기댜하고봣는데 사운드때문에 조금 놀란것 빼고는 별로... 하품도 몇번 함.동양의 음침하고 우웅한 귀신나오는 공포물 좋아하시면 비추에요저는 악마라그래서 하너도 안무서웠습니다ㅠㅠ차라리 지하철예수안믿으면 지옥 아줌...,,,,,,,,,,,
60,살면서 영화보다 다리들긴 처음이네요...,,,,,,,,,,,
61,팝콘 사서 들어가지마세요. 못먹어요.,,,,,,,,,,,
62,영화 혼자 본 사람입니다. 혼자 본 걸 후회합니다.,,,,,,,,,,,
63,전편보다 재밌었어요. 음향 좋네여,,,,,,,,,,,
64,와 방금 보는 사람 여럿 볼줄 알았는데 남친이랑 둘이서만 보게 됬는데...영화의 반이상을 눈만 감고있었음;,,,,,,,,,,,
65,팝고 날라다닌단 드립친놈 강내이를 날려버리고 싶다 조조로 안봤음 스크린 찢었다 정말 극장안에 하품소리만 들리더라,,,,,,,,,,,
66,제가 공포영화를 못보는데요 더 못보게 됐어요....,,,,,,,,,,,
67,개별로 무서운거,,,,,,,,,,,
68,댓글 알바생이 알마나 많다는걸 알게해주는 영화..,,,,,,,,,,,
69,정말 돈아까운영화.. 무섭다는얘기많아서긴장하고봤는데 역시공포영화는 돈주고영화관에서보는게아닌듯합니다. 리뷰,,,,,,,,,,,
70,뒤에 앉은 여자 의자 발로 몇번을 차는거냐,,,,,,,,,,,
71,ㅋㅋㅋ 앞뒤옆에서 팝콘 날아 온다길래 주워먹을 준비하고 있었는데ㅋㅋ 이거 뭥미??!!??!!ㅋㅋㅋ아ㅋㅋㅋ 앞뒤옆에서 코골고 자고있더라;;,,,,,,,,,,,
72,예전에 SNL에서 김민교가 애나벨 패러디한거 계속생각나서 방심했다가 영화 다보고 나서는 김민교 얼굴도 못보겠음,,,,,,,,,,,
73,진짜 역대급 무섭습니다. 오늘밤은 고양이랑 같이 잘라구요.,,,,,,,,,,,
74,롯데시네마 구월동 23:25분 맨 뒷줄 앉으신 돼지커플분중 남자ㅅㅋ 뚱뚱해서 숨도 헐덕거랴서 피해주고 큰소리로 무서운가 나올때 321 카운트 셀거면 집가서 조용히 영화봐라,,,,,,,,,,,
75,진짜 후기알바쓰니....뭐가 무섭다고 난리들인지 ㅋㅋ진짜 여러분 하나도 안무섭구요 소리때메 깜짝놀라는겁니다 진짜 보지마세요 ㅋㅋ,,,,,,,,,,,
76,애나벨 시리즈는 갈수록 무서움이 극대화 되는거 같다.. 아직도 후덜덜,,,,,,,,,,,
77,그저  소리만 맥시멈으로 키워서 놀래키는 영화. 집에서 티비소리 최대로하고 무한도전봐도 이만큼 놀랄듯,,,,,,,,,,,
78,쓰레기들 ㅋㅋㅋㅋ 알바들 그렇게 돈벌면 좋냐,,,,,,,,,,,
