,content
65,극한직업보다 재미있더라말로만 웃기는 영화는 시시하고 유치함 싸구려 쑈같은데그런데 이건 다름한국영화 코미디중에서 내 인생갑인듯
66,아직 안 보셨다면 두 번 보시라
67,정말 재밌다. 임창정 연기가 최고.
68,고인의 명복을 빕니다 ㅜㅜ
69,너무 시대를 잘 못 타고 나와서...너무 아쉽다...ㅠㅠ시대를 너무 너무 앞서갔다...
70,우리나라 최고의 코미디영화 투탑 - 넘버3 그리고 시실리2km
71,스토리도 좋고 연출 연기 삼박자 다 갖춘 웰메이드 코미디 작품
72,지금이었으면 대박 쳤을 영화인데..시대를 너무 앞서갔어. 스토리도 재밌고 배우들 연기 굿이다. 특히 임창정!
73,창정이형 최고!! 다시봐도 웃김ㅋㅋ
74,여기저기서 터지는 충실한 개그  코드대한민국 최고의 코미디영화
75,나만 그런줄 알았는데 ... 다들 이 영화 짱이라고 함
76,유튜브소개영상보고 다시생각나서 16년만에 봤는대 진짜  띵작이다  지금나왔음 대박날 영환대  임창정 임은경 최고임  임창정 진짜웃긴 코메디영화한번더 기대해본다
77,잡히면 너 순대 만들어. 조나 웃김 한국 b급영화의 전설
78,임창정씨의 이런 류의 연기는 할리우드 어느 대배우가 와도 임창정씨보단 안된다.
79,지금 개봉하면800백만은 거뜬ㅎㅎ시대를 앞서간 작품
80,소풍왔어? / 벽이 살려달라는데요?
81,다들 왜 이렇게 높은 평가를 하는지 알게 되는 코메디영화
82,대사 하나 하나가 코미디의 극한을 이끌어 준다. 배우들의 좋은 연기와 어우러져 한국 최고의 엽기 코미디 영화를 만들었다. 이 영화의 공포지수를 묻는 네이버도 우습다.
83,임창정이 하드캐리 꼭보세요
84,개봉했을때봣는데 존내 재밌음 ㅋㅋㅋ
85,지금 다시 봐도 크게 촌스러움이 없다. 킬링타임으로 볼만함
86,극장에서3번봤다소풍왔냐?소풍왔어?그때만나던여친 보고싶네
87,평점이 너무 낮네.. 이게 바로 코메디지 ㅋㅋ
88,어처구니 없게도 재밌네
89,벽이 살려달라는데요
90,구타유발자들의 선배격인 농촌공포스릴러(?)지금 다시 보니 초호화 캐스팅..
91,요새 봐도 재밌어요 좀만 늦게 나왔어도 충분히 흥행했을텐데..
92,진찌 최고의 코믹영화..다시 봐도 절대 유치하지 않다.
93,너무나 재밌는 코미디 영화
94,방구석1열 보고 옛생각하며 다시 돌려본 영화.. 역시 명작은 명작이네요.. 지금봐도 웃김
95,한국코메디영화 올타임넘버원
96,5.. 앞으로 형이라 부르지마. 니가 94야 그럼? ㅋㅋ
97,아 겁나웃기네ㅋㅋㅋㅋ임창정형은 노래도잘고르지만 영화참잘골라 다잼있어ㅋㅋㅋ
98,시대를 앞서간 영화 지금시기에 개봉해도 500만 넘었다
99,다시방송좀해달라 ㅇㅇㅇ
100,ㅋㅋㅋㅋ 와 추억에 명작 지금다시 봐도 개재밌음
101,지금봐도 핵존잼ㅋㅋㅋ
102,ㅋㅋㅋ 재개봉해라 ㅋㅋ
103,기대안하고 봤는데 잼난다ㅋ 배우들 유명한 사람들 많이 나오네요. 권오중 너무 웃김 ㅋㅋㅋ
104,평점말이되냐이게 창정이형 나온영화중 최고다
105,재개봉 재평가가 시급함
106,시대를 앞서간 B급감성충만한 영화들 정말 재밌게 보았습니다 고인의 명복을 빕니다
107,우리나라 영화의 보물같은 영화.영원히 기억하겠습니다.사랑합니다.
108,내인생 최고 웃긴영화  캐릭터가 다 살아있고 나중에 명배우들 되었네
109,최고의코미디영화인듯ㅋ
110,봐도봐도 너무웃겨. 임창정 코메디의 최고봉
111,희대의 역작이다 ㅋㅋㅋ
112,봐도 봐도 웃겨요ㅎㅎ이런류 연기는 창정이 형님이 찐이다~!!!안본사람은 잇어도 한번본사람은 없지요~?그죠~?!!
