,content
59,연기는 굿~ 근데.. 좀 엉성하고 답답하다..
60,기존 한국영화치곤 무난한 스릴러 아닌가?
61,이해할 수 없는 부분도 많은 영화. 돈이 궁한사람에게 비추.
62,소설을 읽은지 좀 되었기 때문에 비교가 확실히 되진 않았지만 큼직한 스토리는 원작반영을 잘 한 것 같습니다. 그러나 주인공 성격이라든지 몇가지 연출은 개연성이 좀 떨어져서 소설을 읽지 않고 영화를 먼저 봤다면 조금 ...
63,끝에열라게스릴있음
64,최고다ㆍ배우들 연기 싸이코패스 이야기라 일단 공포스릴러 좋아하는 사람들은 재미짐 잔인하고~
65,여러번 본 영화. 이런 한국공포영화 또 없나...
66,평점이 낮아서 기대를 안하고 봐서 그럴까 재미잇었음 시간 가는 줄 몰랐네 특히 유선의 연기력이... ㄷㄷ 소름  그래서 조금 무서웠음 ㅜㅜ
67,나름 스릴잇엇음 ㅋ 딱 거기까지 킬링타임용
68,종종 찾아보는 영화 ! 무섭기만하다..후달달 ㅠㅠ 황정민의 젊은? 모습과 유선의 연기력.. 대박..ㅠㅠ
69,유선  연기에  팔점준다!
70,관찮은 영화인데 후반부에서부터 늘어지는것같다.
71,재밌게 본 영화지만 남주가 너무 답답해....
72,원서대로 풀면 오류투성이가 되는 이미지의 세계.
73,다리 저는 여자가 남자들 다 제압하고 사람 납치하고 황정민은 남잔데 도망 가기 바쁨스릴러의 잔혹성에 집중하다보니 전개의 개연성이많이 아쉬운 영화
74,개봉당시는 괜찮았던영화였던것같은데...다시보니 남자주인공이 얼마나멍청하던지..빨리죽길바랬던화..
75,남주인공답답하다.찌질이에다오지랖까지
76,졸작. 사이코여주의 미친근력과 남주의 찌질함을 보고싶다면 추천
77,조낸 무서운거다.. 후덜덜.. 밤에 봤더니 더 무서우 ㅜ
78,배우 유선의 발견만으로도 10점이 부족하다. 어쩌면 우리 세대에 가장 저평가된 여배우
79,이렇게 평점이 낮을준 몰랐다솔찍히 무섭게 봤다
80,유선의 악역연기가 돋보인다.
81,보는내내 답답하기만했던
82,초반부는 그럭저럭 괜찮다가 중반부터 답답하면서 웬지모르게 짜증이나는 영화. 싸이코패스가 식칼들면 무슨 초사이언이라도 되나
83,중반부터 볼만하다. 황정민 캐릭터는 너무 연약해
84,마지막에 반전도있고 재밌는데 생각보다 평점이 낮은듯...그리고 황정민 호구같고 답답하다고 하는 분들 공감능력이 없는 듯. 황정민이 자기 동생 자살하게 만든 죄책감 때문에 사람들 죽는거 싫어서 그런거잖아요. 이해안됨...
85,진짜 무서울 정도로 웃긴 코미디영화입니다.강추!!
86,생각안하고봤는덕 너무소름끼쳤다꽤볼만한영화
