,content
73,좀비물중에서 최고임 ㅜㅜ
74,좀비영화중에  좀비영화..좀비영화중에 한 획을 그은 영화죠
75,이 영화 최고의 캐릭터는 CJ다
76,씨제이가 찐주인공 ㅇㅇ
77,여자주인공이 존비보다 더 무서운거 알죠?? 발암ㅇ다
78,진심 이 감독이 배대슈를 연출했단 말인가.. ㅠ
79,CJ 존멋존섹 남잔데도 반함 ㅋㅋ
80,왜 항상 남자들은 저런 상황에서도 성관계를 못한다는 생각만 하는걸까?
81,인간도 아닌 개나 구하겠다고 지혼자 단독행동 해놓고 무전기로 살려달라고 무전치는 인간 이하의 도라이가
82,15년전 이라니....대박이다...
83,나도 첨엔 CJ 개 싫었는데 나중에 개 멋있음 ㄹㅇ
84,아 존나 기억 가물가물하네.
85,개는 도대체 왜 구한다고 간건지~ 좀비가 사방에 깔린걸 알면서
86,역시 다시봐도 대작 좀비영화
87,잘만든 좀비영화인데 워킹데드를 봤어서 좀 진부했음. 그래도 좀비연출 액션 연출은 좋았는데 캐릭터들이나 특히 스토리가 굉장히 b급이었음
88,좀비영화의 OO점..
89,좀비영화 중 단연 최고!
90,여자가 개 찾으러 갈 때 짜증나는 거 빼고 좋았습니다. 정말 재미있었네요.
91,최초로 시전된 좀비 영화의 성공적인 블록버스터화
92,잭 스나이더는 발전을 안하고 왜 퇴보를 할까...
93,10년 넘게 봤지만 좀비영화는 새벽의 저주를 따를 자가 없음.
94,최소 10번은 봤다.졸잼
95,가히 좀비영화의 교본이라고 말할수 있다.
96,몇몇이해안되는장면이있지만좀비영화의정석임은분명하다
97,진짜 진짜 재밌음!!! 강추
98,2021년 현재까지도 새벽의 저주를 뛰어넘는 좀비영화는 나오지 않고 있다.
99,좀비에만 치중되는게 아니라 인간의 사실적 감정과 적응력도 그려서 좋았다.
100,새벽의 저주는 개연성과 밀고 당기기가 적절한 완성도가 높은 영화이고 워킹데드는 좀비도 좀비이지만 사람이 무섭다는 것을 일깨워주는 철학적인 드라마 이 두 개는 믿고 보셔도됨
101,마지막에 문을 닫으며 들어오는 사람을 위해 항상 백업슈터가 엄호를 해줘야 하는거다. 한두번 겪었으니 팀웍의 발전이 있을법도 한데.. 안타깝다.
102,안녕하세요 부산행보고 생각나서왔습니다.우린언제쯤 이정도 스토리나 퀄리티 연기력까지 바탕이 될수있을까영..
103,오랜만에 봤는데 CJ ㅈㄴ 멋있다..
104,Cj대한통운 개멋있네ㅋㅋ진짜 간호사랑 개충년 발암캐
105,그때 당시의 작품으로서는 신선한 충격을 가져다줄 충분한 작품이지만 이후로 아류작들이 너무 많이 나왔고 이 작품이 지닌 교과서적인 플롯이 상당히 변질이 되다보니 정작 그것들의 시초가 되는 작품에서 흥미를 느끼지 못할 ...
106,들리는가 죽음의 축제가?~~~~ 오프닝노래부터 소름이 쫙 돋았고 흑인 아내가 좀비로 변하고 태아를 출산했을때 그 아기도 좀비가된 씬은 정말 기억에 오래남을듯한  신선한충격...  좀비들이 시도때도 없이 달려드니까심장...
107,벌써 15년이 디되어가는데 아직 이영화 보다 나은 좀비영화를 본적이 없음
108,최고의 좀비영화를 뽑으면 무조건 이걸 뽑음
109,단연코 좀비영화 원탑임!
110,개ㅅㅋ 구하러간 개같은 연땜에 도대체 몇명이 희생되냐?
111,모든 좀비영화의 최정점에 위치해야 마땅한 걸작
112,역시는 역시그리고 개빠는 역시 빡친다
113,진짜 언제봐도 재미있다 ㅋ잔상이 오래남는 영화 ㅠㅠ 무서워 ㅠㅠ
114,꿈도 희망도 없는 엔딩 재밌게 봤네요
115,살아있다보고왔는데 역시 새벽의저주같은 좀비영화는 절대 안나올듯
116,씨제이 진국ㅎㅎ 쵀애 캐릭터~~
117,감독 잭스나 각본 제임스건 ㅎㄷㄷ
118,긴장감에 떨리는 손. 강아지만 뺐다면.
119,내가 본 좀비물 중에 최고
120,정말 좀비영화의 한 획을 긋는구나...
121,내가 아직 이 영화 점수를 안 줬었다니..이 영화가 나온지 벌써 10년이란 시간이 흘렀는데 그 당시에는 이 영화를 능가하는 좀비물이 10년째 나오지 못할 것이라고는 생각 못했었네..앞으로 10년 안에는 과연 나올 수...
122,6~7년전에 봤는데 좀비영화중에 최고다 ㅋㅋㅋㅋ
123,봐도봐도 질리지가 않아 ..
124,좀비 영화의 바이블. 더이상 말이 필요한가?
125,지금까지 수많은 좀비영화를 봤으나 28 시리즈를 제외하고 이 영화를 뛰어넘는 영화는 감히 보지 못했다 또한 현재의 잭스나이더 감독이 이 영화에서 보여준 뛰어난 연출력을 그대로 안고서 다시 한번 돌아와야 하는 이유가 ...
126,이거 보그 좀비에  푹빠짐  귀신영화는 못봐도 좀비영화는 본다
127,말이 필요없다  좀비영화의 바이블
128,잘만들어진좀비영화 졸잼
