,content,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,흔히 있는 외게인vs지구인 액션물이 아니라 외계인 침공에 제대로 저항하지 못하고 당하는 아포칼립스  적인 영화라고 보시면 됨.그리고 시점은 영웅인 주인공이 아니라 일개 사람일 뿐인 주인공임.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,제작비 100억 갖고 이 정도면 솔직히 혁명급 영화 아니냐 글구 솔직히 수억광년을 날아온 외계인들 상대로 비등하게 싸우긴 개뿔 사실상 이게 현실이다 내생각에 거대자본 제대로 뒷받침만 되면 이 영화 후속작은 대박일 거...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,등장인물들이 하는 일이 너무나도 없다.  외계인이 침공했는데 저렇게 어설프게 도망다니는게 오직 주인공들 뿐일까.  영화에선 나오지 않지만 수많은 인물들이 똑같이 도망치다 잡히겠지.  영화에 주인공이 필요한 이유는 남...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,이거는 1인칭 주인공 시점 에서 봐야 합니다~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,무섭다 ;;;; 슬프다;;;;;;나쁘지않다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,dram**** 말하는것봐라ㅋㅋㅋ 저딴놈말 듣지말고  SF물 좋아하신다면 보세요 갠적인점수는 9점 평점이 낮아서 10점!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,평점올리려 10점. 꽤 잘만든 영화인데 평점이 너무 낮네. 끝부분이 너무 이상하케 마무리 되서 그런가..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,평점왜이래 우리나라거품영화 은위보다는 백배낫고 엄청재밋고스릴잇기만하구만,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,스카이 라인 여러번보면서도 정말 잘만들었다고 생각하는데 볼줄도모르는 것들이 평점이라고 남기기는... 후속편도 나오면 너무보고싶다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,완전재미있는데 2편이 왜안나오지 ㅠㅠ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,호블호가 상당히 갈리는데요 ~~ 외계인 침공 영화 중에는 CG 단연 최고의 퀄리티를 보여주네요 ~~ 다만 배우가 톰크루즈같은 사람이 나오고 스토리를 좀더 짜임세 있게 만들었다면 아바타에 버금 가는 걸작이라 생각 되네...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2탄이 기대된다요...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,대박 꿀잼  8점 정도 할려다 평점 너무낮아서 한방감,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,미친것들아 영화를 발로 보냐? 현실적인 전개스토리라 더욱 몰입감도 있고 재미만 있구만 너네들은 그저 부수고 볼거리 있어야 재밌는거냐?? 수준 낮은것들아 너네들 때문에 2편 안나오는거야 눈을 장식으로 달고다니는 것들아...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,전반적으로 후속작을 염두해두고 만든 영화같음!!나쁘지 않은 영화~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,나는 이런거 넘 좋아 ㅋㅋ 이건 확실히 취향이 극명이 나뉠듯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,재밌게 본 영환데 평점이 왜 이따구지...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,솔직히 볼하고 후속작이  기대되는 영화 ㅋㅋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,재미있다. 2편이나 빨리 나와라.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,이 영화 난 겁낸 재밌게 봤다   비록 결말이 암울해서 그렇지   엄청 현실적이다   핵을 직격으로 맞고도 멀쩡한   외계인들에게 어찌버티랴   슈퍼맨이 나타나면 몰라도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,평점이 왜이래 2탄 계속 기다리고 있던 사람으로 물론 연기성이 약간 부족한건 인정한다만 마지막장면의 전개되는 그리워하는 지키고자하는 감성전개는 정말 괜찮은 영화였다. 7점대 영화는  충분히 된다고 본다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
