,content
69,재밌게 봤음.. 염력이란 설정 없이 스토리를 전개할수 있었다면 더 좋았겠지만 배경이나 설정도 맘에 들었고 시간여행이란 소재를 어렵게 표현하지 않고 잘 써먹은거 같음
70,어설픈 전개가 조금씩 보였으나 결말이 단점을 덮을 수 있는 영화다.
71,조셉고든레빗의 마지막 선택은 살면서 두고두고 기억이 난다. 루퍼는 바로 그 장면을 선보이기 위해 만들어진 영화다.
72,이해를 못한사람이 너무많다. 팔을쏜다고 미래의나는 목적을 멈추지않는다. 엄마의 아들에대한 집착과 밤에 개구리 누르는것은 외로움을 표현 아이는 그걸 닮아 사랑을갈구하고 엄마를 엄마라 못믿는것은 불안전. 분노조절장애를 ...
73,8.5가 적당한 영화! 엄청나게 재밌게 봤는데 평점이 왜 8점밖에 안되는지?
74,마지막 대사가 절반인 영화
75,최근 본 영화중 젤 집중하고 봤네 ...
76,오랫동안 기억에 남는 영화.
77,오 재밌다 마지막이 조금 아쉬운 느낌?
78,방금봤는데 재밌게잘봤어요 ㅎ
79,간만에 흥미로운 스토리 발견!연기력도 볼만했습니다!다만 문제는... 엔딩이 아쉽네요 ㅠ자기 팔을 쏴버리지 ㅠ
80,난 극장에서 기대안하고봤는데 재밌더만..다양한 소재를 깔끔하게 풀어냈다.
81,내가 봤을 땐 완벽했음 재밌었고 생각 좀 해야하는 스토리였음
82,더 좋은 작품이 될 수 있었는데 2%가 부족함. 그래도 보고 후회는 안합니다. 추천!
83,비행기에서 더빙판봤는데 잼있었씁니다조셉고든레빗은 멋진배우네요
84,진짜 별 특별한게없는데 주기적으로 보게되는 영화. 개띵작ㅜㅜ
85,간만에 본 재밌는 영화!
86,루프 2안나오나??  속편에서 레인메이커 활약보고싶은데
87,추천 할만한 영화 좋다. 조셉고든레빗 완전 섹시
88,추천 할만한 영화 좋다. 조셉고든레빗 완전 섹시
89,에밀리 블린트 사랑해효
90,스토리 신박하네. 그런데 내용상 모순점이 있다. 두 주인공들이 최초 만나는 시점에 선택이 쌩뚱맞게 두가지로 나뉘는 부분. 최초 갈림길이 두가지로 시작됐는데 그 갈림길에서 두 주인공이 만난것. 너무 이상하잖아.
91,좀 아쉽다 중후반부 부터 스토리가
92,재밌구만 무슨 명작이다
93,이런 대작이 평점이 왜 이리 낮아 쌰방!! 열받아!! 내용 전개 빠르고
94,타임슬립물에선 개연성이 많이 떨어지는 경향이 있는데 
95,흥미로운 소재와 더불어 탄탄한 이야기
96,난 재밌었는디..
97,터미네이터와  나비효과의 믹스버젼... 칵테일처럼 멋지게 섞였다.. 브라보
98,나도 마지막 결정이 인상깊어서 10점
99,초중반이후 터미네이터 같은 스토리가 등장하면서 이야기는 늘어지고 재미는 반감된다
100,10점은 아니어도 9점가까이는 되야지..난 엄청나게 재밌다고..
101,라이언 존슨의 포텐셜을 확인할 수 있는 좋은 작품. 여타 SF물과 다르게스펙타클하고 화려하진 않다. 하지만 그렇기에 더더욱 라스트 씬의 여운이 짙게 남는 듯 하다. 시드의 앞날에 축복이 있기를.
102,중반 이후 부터의 드라마와 뜬금 염력으로 아쉽긴하지만
103,남주가 위급할 때 누르라고 여주에게 줬던 개구리 모형.여주가 남주 보고싶어 개구리 모형 버튼 누르니바로 출동한 남주.여주에게 위급한 일이 생긴 줄 알고급하게 계단을 오르던 쿵쿵 소리.너무나 셀레였다. 지금도 잊혀치 ...
104,진짜 완전 꿀잼입니다!
105,지금 봐도 신선한 소재. 재밌게 봤다.
106,소름 돋는다 ... 소름
107,이영화 평점이 낮아서 처음으로 평점을 씁니다존잼
108,평점이 생각보다 낮아 올려줄려고 씀
109,테넷보면서 루퍼가 계속 떠올랐음 갠적으론 친절한 루퍼가 더 재밌다
110,염력이라는 소재와 시간이라는 소재를 동시에 사용해서 중간중간 보면서 띠용? 음....ㅋㅋ 라고 생각드는 장면이 많았으나 염력이라는 소재를 그냥 부가적인거라 생각하고 보니 상당히 좋은 영화였다! 볼만하다!
111,타임루프로 어줍짢게 영화 만드는 감독들은 이 영화 보고 반성좀 하길
112,결말이 너무 마음에 든다감동
113,아니 일케 재밌는데 8.0밖에 안된다고..?? 마지막 선택은 심장을 덜컹이게 했다
114,시간가는줄 모르고 봣네 ㅎ
115,내가 대머리가 되다니~!!
116,오호
117,뒤틀린 관계의 세 남녀가 각자의 가치를 지키기 위해 갈등하는 이야기. 이 들중 악역은 없다. 진부한 타임패러독스치고는 깊은 여운. 스타일좋은 연출.
118,반전도 있고 겁나 재밌음블런트 매력 개쩔고
119,7년전에 처음볼때는 내용을 충분히 이해못하고 봤었던것 같은데
120,완전 재밌었는데 왤케 평점이 낮은건지;
121,진짜 보면볼수록 재미있는 영화ㅜ 눈물
122,이 영화? 시간은 미끼
123,진짜 재밌게 봤어요 시간 가는줄 모르고 봤네요 생각보다 평점이 낮아요
124,6.5점 그냥저냥한 시간 때우기 보다 아래 영화. 아바타가 2009년 작인데 2012년 작이 이것 밖에 안 된다는 게 의문. 에밀리 블런트를 보는 건 언제나 기분이 좋다.
125,사실 결말은 보다보면 예상이 되었다. 그래도 신선한 소재와 빠른전개로 재미있었다. 다만 브루스가 너무 사기캐로 나와서..
126,다 좋은데
127,아이를 둔 부모라면
128,결말이 계속 기억에 남아요 굿굿
129,띵작  띵작 띵작이에여  ㅇㅇㅇ
130,영화관에서 보고 몇년만에 다시봤는데 역시 명작이다. 영화관에서도 진짜 재밌게 봤는데 작은 화면으로 다시봐도 재밌다. 애기 넘 귀엽당...
