,content
이런 영화 안맞는 사람한텐 안맞겠지만 좋아하는 사람들에겐 꿀잼이지
와...진짜 화려하고 잼있었슴...특히 메간폭스는 정말 섹시했다...
난 메가트론이 처음 숲속에서 옵티머스와 싸울때부터 오토봇이 이길줄 알았다
3보다는 잼있네...
1점준자들은 7번방선물보곤 눈물흘리면서 좋아할 놈들이겠지
1편은 명작이었는데... 로봇들의 개성들을 거의 죽여버림
영화의 급이 다르다고 느낀게 영화 중간중간에 계속 흘러나오는 배경음과 OST는 영화의 흥미와 재미를 2배 더했다. 특히 초반에 샤이아 라보프와 메간폭스가 만나는 장면. 무차별적으로 쏟아지는 폭격 액션. 이런 블록버스...
이정도면 칠천원주고 영화관에서 보면 아깝지 않지 눈이 번쩍
스케일 하나는 끝내주네
옵티머스 혼자 1대3으로 싸울때 소름
제트파이어랑 옵티머스랑 합체할때 내몸에전류가 흐르는 느낌이었다
완존 짱짱맨재밌있어교
3부작 중 3은 평점 주고싶지도 않지만 준다면 1점일 것이다.1과 2는 여러번 돌려보았으나 1보다 많이 모자라진 않았다.제트파이어와 옵티머스의 합체는 꿀재미였다!
트포1처럼 재밌음~~
마이클 베이는 이때부터 미치기 시작했다.그러나 진정하게 미친 때는 3편때부터이다.
2편까지는 핵꿀잼. 3편부터는 망작
처음부터끝까지 화려한 온리킬링타임무비, 1편은나름대로 스토리라도갖췄는데 2편부턴 비쥬얼만강조했고 제목은 폴른의역습인데 영화상에서 폴른은 그냥엑스트라급
옵티머스프라임의 파워력이 세지는 2탄.
마지막에 옵티머스프라임 엄청 멋있었어요!
아쉽지만 그래도 잘만들었다
아...이때까지는 진짜 괜찮았는데...도대체....3편부터 무슨 일이 일어난 거야...ㅠㅠㅠ
영화관에서 첨 봤을 땐 실망했는데 집에서 다시보니 넉넉히 8.5점은 줄 수 있겠더라. 한 번 보고 실망한 사람이라면 다시 한 번 더 봤으면 좋겠다
박지훈이 폴른의 복수를 패자의 역습으로 번역했구나...
2달만에 스토리 급조했는데도 아주 나쁘지는 않음
2까지는 훌륭한 영화다. 3편이 아쉬웠을 뿐
2편이나 3편이나 1편의 반에반도 못따라가는 스토리.. 2편은 영화 초반부까진 스토리라인이 정말잘짜여져 있었다 하지만 후반부 부턴 스토리라인이 붕괴되고 긴장감마저 사라져버렸다 결국 그스토리를 거대한 스케일로 묻어버렸...
1편 보다는 좀 아니지만 그래도 나은 점도 많이 있었다.
살다살다 기계한테 반함.. 옵티머스랑 범블비 매력포텐 터짐
제가젤좋아하는영화!
정말 소름끼친다!!!
탄탄한 스토리와 그래픽 수준은 최고다
액션도 좋고 재미도있고
내용은 별거 없었으나 로봇디자인이나 cg 굿!
트랜스포머중에 2가 제일낫다
2편까지가 진짜 트랜스포머다
트랜스포머는 딱2지만 보는걸 추천한다
옵티머스가 뜬금없이 죽음
여기까지는 많이 추해지기전입니다 안심하고 보세요
그래도 니가 3,4,5 보다는 잘만들었다.
1편의 그 충격이 역시 2편까지는 끌고 오기에는 부족한가보다 하지만 합체장면은 최고였다
눈요기가 다는 아닌데
여기서 그만뒀어야 했다
아직까지는 꾸르잼 여기서 접으면 됩니다
본격 졸라 짱쎈 미군 홍보 영화! 우주에서 온 로봇들과 함께 지구를 지키자!
종합 평점은 7점 드립니다.
영화를 보고 거대 로봇들의 치고받고 하는 모습들 밖에 떠오르지 않는다.
솔직히 갠적으로 트포는 1,2,3은 너무 보기좋음
2탄까지는 너무너무 잼씀..
로봇들을 하나의 '생명체'로 바라보지 않고 싸움만을 위한 기계로 만들어버린 마이클 베이.
누가 머라해도 내 최고의 영화..ㅠㅠ
트랜스포머는 2편에서 끝났어야 해
솔직히 트랜슾포머 2편까지는 믿고 봐줄만했음. 스토리도 좋고 액션도 좋고 재밌었음
5편보고 2편을 보니 진짜 명작을 보는느낌
화려하고 나이나믹한 소포모어 징크스
트랜스포머는 2편까지만 보는걸루
후반부가 좀 더 타이트했어야.
어.. 아마 아바타하고 이 영화 를 본 저는 그때였습니다 정신이 들기 시작한게
1편만큼 감동은 별로 없지만 코믹요소 같은 부분이 있어 재밌있게 봤다!
트랜스포머는 1,2 까지가 명작 3편도 좋은건 아니지만 나쁘진 않았음
