,content
67,외계인보다 아들과 딸이 더 싫은영화
68,열번을 봐도 재밌는 영화...티비에서 해주길래 지금도보고있음..
69,난 정말 재밌게본 영화
70,진짜 현실적으로 재밌게 그려놈 사람들 심리묘사도 하나하나잘되있고 .. 보는 시간내내 하나도 안지루했던거 같음
71,딱 이정도 평점이 적절한 것 같다 재밌지만 음...뭔가 허술한 느낌
72,평점에서 꼭 결말을 구체적으로 언급해야겠나...한심하고 이기적인 인간들.. 암튼 재미있었지만 아들새끼 조패버리고싶은 마음때문에 2점 뺌
73,애새끼들이 너무 발암이라 짜증유발.
74,영화속 주인공 딸이 훗날 브레이킹 던의 제인이 됬다는게 놀랍습니다
75,아 소리지르는 딸과 건방진 아들 때문에 거슬려서 미치겠는데.... 재미있네요..;;
76,재밌다. 발암 남매만 빼면. 고도문명을 가진 외계인이 수만년간 계획했다며 미생물을 예상못했다는건 납득이 안됨. 그것도 인간을 이용한 바이오에너지를 사용할줄 아는 종족이 말이다. 영화가 판이 커지자 부랴부랴 자멸시킨듯...
77,외계인이 지구를 침략했을때의 공포를 잘 살린영화
78,다코타패닝 비명만 작작 질렀어도 별 하나 더 줬다
79,마지막 수류탄으로 기계터트리고 탈출하는 장면과 보스턴씬 사이에 내용연결이 좀 있었다면 매끄러웠을....
80,애새끼가 유발하는 암 ㄹㅇ 진짜 답답해 미치ㅁ
81,저 당시 어릴 적엔 참 무서웠던 내용. 하지만 참신한 소재에 과학적 결말까지. 여러번 다시 봐도 재밌는 영화
82,초반부 카센타 주인부터해서 아색히들 정말 짜증나게하드라
83,아우 빡쳐 외계인이 아니라 자식새끼들 쏴죽이고 싶다
84,애들 나오는 영화는 이래서 안돼
85,재미는 있으나 아들놈의 싸움본능과 딸년의 비명과 어처구니 없는 전개들이 좀 눈에 거슬리네요
86,평점이 너무 낮은거 아닌가... 나름 괜찬던데 긴장감도 있고 적어도 8점짜리 영화라고 생각함
87,소재는 좋은데 왜 미국영화는 늘 이런식이야ㆍ부부가 이혼하면 자식들은 왜 항상 아빠를 불신하고 무능력자로 보는것인지ㆍ보다가 암걸리겄네 자식들땜에ㆍ
88,흉악한 삼발이와 말 안 듣는 자식들 사이에서 허덕이는 톰 크루즈. 음악이 지린다.
