,content,,,,,,,,,,,,,,,,,,,,
47,아이언맨 3000만큼 사랑해,,,,,,,,,,,,,,,,,,,,
48,토니에겐 잉센같은 사람이 더 많이 필요해,,,,,,,,,,,,,,,,,,,,
49,엔드게임까지 이끈 대작,,,,,,,,,,,,,,,,,,,,
50,1,,,,,,,,,,,,,,,,,,,,
51,모든 것의 시작은 이 영화에서 시작되었다.,,,,,,,,,,,,,,,,,,,,
52,시간이 지나고 봐도 전혀 어색함 없이 탄탄하고 화려하다,,,,,,,,,,,,,,,,,,,,
53,당시에는 막연하게 재밌는 히어로 하나 새로 알게됐구나~가 전부였는데,,,,,,,,,,,,,,,,,,,,
54,어벤져스 엔드게임보고 다시 왔습니다3000만큼 사랑해,,,,,,,,,,,,,,,,,,,,
55,슈퍼히어로물로써 키덜트적 판타지를 충족시키는 법을 안다.,,,,,,,,,,,,,,,,,,,,
56,마블을 먹여살리는 최고의 캐릭터 -끝-,,,,,,,,,,,,,,,,,,,,
57,안 본 사람이 없고 모르는 사람이 없으며 재미없다는 사람을 못 봤다,,,,,,,,,,,,,,,,,,,,
58,다시봐도 재미있다,,,,,,,,,,,,,,,,,,,,
59,아이언맨1에서의 I am Ironman이란 대사가 히어로 영화의 클리셰를 박살 냈다면 엔드게임에서의 I am Ironman은  아이언맨의 영웅으로서의 정체성을 집대성한 대사다,,,,,,,,,,,,,,,,,,,,
60,홈커밍 보고 아이언맨1부터 다 정주행중이다 . 와 정말재미있다 안본사람은 보세요 정말 후회안합니다,,,,,,,,,,,,,,,,,,,,
61,다섯번은본듯.ㅋ 마블시리즈 첨부터쭉볼까 하면서 다시본 아이언맨. 수트 자동으로 볼트쪼이면서 입을땐 정말소름돋을정도로 멋있다는~ 아임 아이언맨~,,,,,,,,,,,,,,,,,,,,
62,이게 2008년 영화라니..ㄷㄷㄷ;;,,,,,,,,,,,,,,,,,,,,
63,최고다 진심아임 아이언맨.... 심장 남아나질 않음,,,,,,,,,,,,,,,,,,,,
64,마블의 모든 것의 시작. 로다주 3000만큼 사랑해,,,,,,,,,,,,,,,,,,,,
65,마블이라는 최고의오락무비를 만들어낸 히어로영화...지금보면 익숙하지만 그때에는 ㅈㄴ충격이었음,,,,,,,,,,,,,,,,,,,,
66,“I am iron man” MCU 영화는 이대사 하나로 요약한다,,,,,,,,,,,,,,,,,,,,
67,이 영화 보고 공대왔습니다,,,,,,,,,,,,,,,,,,,,
68,여기가 출발이자 끝의 성지입니다..,,,,,,,,,,,,,,,,,,,,
69,전설의 시작I' m iron man,,,,,,,,,,,,,,,,,,,,
70,아이언맨 3000만큼 사랑해,,,,,,,,,,,,,,,,,,,,
71,성인군자가 아닌 히어로가 결국 최고의 히어로가 되었다..,,,,,,,,,,,,,,,,,,,,
72,오늘 앤드게임 보고 아이언맨 정주행했네요. 아이언맨 2부터 마블 입문했었는데 아이언맨 1이 진짜 재밌네요. 11년전 영화인데 스토리며 화면이며 전혀 촌스럽지 않고 재밌네요. 갓토니 T.T,,,,,,,,,,,,,,,,,,,,
73,잊지 않을거야 내 히어로 내영웅 내 꿈 ㅠㅠ,,,,,,,,,,,,,,,,,,,,
74,1편이 아이언맨 시리즈 중 가장 낫다.,,,,,,,,,,,,,,,,,,,,
75,현재 마블은 이 시절을 회상하며 반성좀해야함,,,,,,,,,,,,,,,,,,,,
76,토니도 따뜻한 가슴이 있다는 증거..,,,,,,,,,,,,,,,,,,,,
77,MCU 전설의 시작....,,,,,,,,,,,,,,,,,,,,
78,아이언 맨 마지막 장면을 처음 봤을 떄가 아직도 생생한데 이제 볼 수 없다니... 당신처럼 인간적인 히어로도 없을 거예요. 안녕,,,,,,,,,,,,,,,,,,,,
79,감독님 해피 호건... ㄷㄷ,,,,,,,,,,,,,,,,,,,,
80,모든것을 시작하고 모든것을 끝낸 남자,,,,,,,,,,,,,,,,,,,,
81,I am Ironman,,,,,,,,,,,,,,,,,,,,
82,아이언맨1  'I Am Iron man',,,,,,,,,,,,,,,,,,,,
83,솔직히 옛날에 이거 재미없을것 같다고 한 댓글들 보면 웃음 밖에 안나온닼ㅋㅋ적어도 지금은 안 그러겠지,,,,,,,,,,,,,,,,,,,,
84,마지막에 토니스타크와 닥터스트레인지 눈빛교환하는 장면이 진짜 인상깊었음,,,,,,,,,,,,,,,,,,,,
85,어렷을때 아이언맨1을  영화관에서 처음 봤을 때 그 기분은..말로 표현 할수가 없었다,,,,,,,,,,,,,,,,,,,,
86,나는 아이언맨이다 이 대사가 로다주의 애드립이었다니..,,,,,,,,,,,,,,,,,,,,
87,당신이 있어주었기에 11년간 행복했습니다.,,,,,,,,,,,,,,,,,,,,
88,전설의 시작. 무조건 10점.,,,,,,,,,,,,,,,,,,,,
89,수고했어요 아이언맨 이제 평온하길.,,,,,,,,,,,,,,,,,,,,
90,아이언맨이 흥행하지 않았으면 어벤져스는 만들지 않았을것.,,,,,,,,,,,,,,,,,,,,
91,감독이 해피인건 오늘 첨 알았다...,,,,,,,,,,,,,,,,,,,,
92,역시 흥미를 느끼기엔 아이언맨만한 마블이 없을듯,,,,,,,,,,,,,,,,,,,,
93,아이언맨 시리즈 중에 재미없는 게 없네♥,,,,,,,,,,,,,,,,,,,,
94,모든 것이 시작된 영화.아이언맨이라 쓰고 어벤져스: 비기닝이라 읽음.,,,,,,,,,,,,,,,,,,,,
