,content,,,,,,,,,,,,
39,우리 엄마가 승리호 보고 갱년기가 다시 나올라 한대요. 아빠는 이거 영화 어린이용이냐고 물으시고 줄곧 주무셨어요. 넷플릭스에 잘 팔았네요. 요새 영화비도 13,,,,,,,,,,,,
40,"2092년도에 애들 이름이 꽃님이 순이...내이름은 2292년도에 지어진듯한 세련미가 느껴진다!그리고진짜 송중기 배우의 실로폰 뚱땅거리며 부르는 노래""아빠는 순이를 좋아하"" 하!!!!..본인도 많이 힘...",,,,,,,,,,,,
41,영화는 결국 스토리텔링 이다. CG만 신경쓸려면 다른 포맷으로 하시라. 이백억이면 좋은영화 몇 편은 만듭니다. 이런 영화 안타깝다.,,,,,,,,,,,,
42,음~ 뭐하나 기준이 없네요. 너무 어설퍼. 전체적으로 떠 있다고 할까나.. 배우들 연기며 캐릭터별 관계나....사운드.. 스토리..등등 어설픔.   그마나 CG 완성도에 위안을 ..,,,,,,,,,,,,
43,영화 담보 스토리에 200억 그래픽이 왜 필요한지...연기자들 케미도 없고. 김태리 억지 걸크러쉬,,,,,,,,,,,,
44,개봉안하고 넷플릭스에 잘팔았다  이거 개봉했으면 역대급폭망이다각본연출이 얼마나 개판이면 김태리가 연기를 그따위로 하냐 ㅋㅋ용가리랑 뭐가 달라?,,,,,,,,,,,,
45,헐리웃 SF 스타일 뻔한 답습에 주연인 김태리,,,,,,,,,,,,
46,영상미는 아주 칭찬할만 하나,,,,,,,,,,,,
47,처참한 각본,,,,,,,,,,,,
48,그냥 죄다 쓰레기임 네이버평에 속지마셈들태어나서 첨으로 평점주고 글적어요배민도 안하는데 여기에쓸줄이야,,,,,,,,,,,,
49,안 본 눈 삽 니 다 ㅠ ㅠ 급 구 급 구,,,,,,,,,,,,
50,보다가 자막 킨 영화 처음이네 너무 정신 산만하고 마지막은 늘 지겨운 신파,,,,,,,,,,,,
51,우주로 간 담보...끝! 난 담보가 훨씬 더 재밌었는데 평론가 평보고 왜 이렇게 점수가 높지 했더만 박평식 씨가 안계셨네...박평식 평론가는 보다가 아 평론안해 OO..이러셨을 듯...그나저나 평론가들도 뒷광고하나....,,,,,,,,,,,,
52,스토리.. 어휴.... 아이 나올때부터 억지 휴먼감동으로 가겠구나 예상했지만.. 이렇게 재미없을줄은....꽃님이가 너무 밝은 것도 이상하고 (아빠 찾지도 않고) 승리호 멤버들이 꽃님이한테 애정쏟게되는 이유도 너무 빈...,,,,,,,,,,,,
53,대사는 웅얼웅얼,,,,,,,,,,,,
54,재미없다 즙짜기 최악인데,,,,,,,,,,,,
55,cg는 나쁘진 않지만 외국 배우들 연기가 어색하고 외국인들 연기보다 더 심각한게 박살난 스토리다.전형적인 k-신파와 “돈 한번 벌어 볼까~“같은 오그라드는 대사들이 난무하는 시간 아까운 영화... 시간이 남아돌아서 ...,,,,,,,,,,,,
56,절대 포기 못하는 한국 특유 억지 감동 서사 끼워넣기.... 다 된 재료에 똥뿌리는 스토리 ㅠㅠ 너무 오글거림,,,,,,,,,,,,
57,스토리 최악.. 캐스팅도 최악..,,,,,,,,,,,,
58,초등저학년용재미없다전문각본가집단양성하고자문단도 필요함대충 날로 먹으려들라카면 어쩌냐스토리에 힘을 주라고멍청한 저능배틀,,,,,,,,,,,,
59,스토리 개연성이 너무.... 사건진행 대부분이 우연을 통해 진행되고.. 영상미 하나만 남는 영화같아요.. 그리고 영화 중간에 설명충,,,,,,,,,,,,
60,제작비 어마하다던데 ㅡㅡ. 에휴. 파워레임져보다 못함 ㅜ 지겹고 전달도 안되고송중기는 제복입는 것좀 그만하길 ㅜ돈다 어따썻니,,,,,,,,,,,,
61,알바들 적당히해라 진짜 이런 쓰레기영화보고 10점주고싶냐 울언니는 의리로 다봤다지만 난 도저히 내 시간과 노력이 아까워서 못보겠다 배우들은 어떻게 이딴 영화를 고르는지.. 애들 이름이 순이 꽃님이가 뭐냐 50년대냐?...,,,,,,,,,,,,
62,국뽕은 더이상 안통해 오그라든다,,,,,,,,,,,,
