,content
67,왠만한 공포영화 보다 더 스릴 넘침>.<ㅎ
68,생명의 위협을 받고 살기위해 발버둥치는건 다 똑같다란걸 보면 제목 겁나 잘지었음
69,캘빈시끼 더럽게 안죽어요.. . 결말은 짜증팍..
70,영화를 보는 내내 식욕을 참을수 없어
71,영화 시작후 한순간도 딴생각을 하지못함. 이 영화는 나만 봣으면 좋겠음. 별로라는 사람들 이해가 안됨.
72,예고편이 다가 아닌 영화
73,진짜 마지막 반전 최고였다 개소름;;
74,1년 뒤 노량진수산시장 : 캘빈 2마리 3000원
75,이 영화는 후속작이 나오면 안된다. 마지막에 한방 후려치는 듯 한 전개는 그걸로 남아야 다른 비슷한 부류 영화들과 차별성이 남는다.진짜 이 영화의 마지막의 진미는 시리즈없이 이걸로 깔끔히 끝내는게 그 색을 더 진하게...
76,화장실갓는데 변기구멍에서 켈빈이 나올것같은느낌이었다그정도로 인상깊었고 소름인영화
77,영화자체 는 뛰어나다.그러나 관람객 불쾌감 주려 만든가 같다. 감독을 때리고 싶다.
78,평식이가 6점 주면 나름 볼만함.
79,충무로는 아직 신파
80,조던 : 나 믿지?미란다 : 응 너때문에 지구멸망 ㅅㄱ;
81,잘만들었다.. 알바부터 제어좀. 이게 어떻게 저예산영화냐 한국에서는 감히 시도도못한다
82,나는아무반격도못하고 한참 뚜들겨맞고 나온느낌ㅋ개찝찝 재미는있음
83,하...이게뭐야..ㅈㄴ무섭네 케빈 왜캐똑똑해 갠적으로 에이리언보다 더 무서웠다 엔딩은 좀 충격적이지만
84,존잼....진심 아무생각없이 스릴있다고해서 봤는데 손에땀났어 매애애앤~발에도땀났어~빼애애애애앰!!!~~뻔한진부한영화가아님 결말끝에도 예상가는대로겠지~했는디 헉 소리까지 나왔음 꼭보셈 진심 존잼임 10점주고싶지만 인간...
85,간만에 심장 쫄깃! 마지막에 설마했는데 설마가 사람 잡음ㅠ
86,이건 뭐 SF중
87,당분간 산낙지는 먹지 못할것 같다.
88,그냥보세요.쵝옥입니다
89,흑인의 놀라운 사고력을 볼수있던 영화
90,데드풀  일빠따로 죽는데  포스터에 올라가는 클라스 ;
