,content,,,,,,,,,,,,,,,,,
48,정~~말 재밌음!! 영화 보길 잘했네요,,,,,,,,,,,,,,,,,
49,진짜 재밌네요~ 케이트 원슬렛이랑 애슐리 쥬드도 넘 반갑구 좋았어요,,,,,,,,,,,,,,,,,
50,정말 스토리가 좋은것 같습니다 신선해 ㅠㅜ 남주여주 연기도 좋음,,,,,,,,,,,,,,,,,
51,생각보다 재밌어요~ 굿굿굿,,,,,,,,,,,,,,,,,
52,최고의 영화중 하나 가 될 영화,,,,,,,,,,,,,,,,,
53,잼ㅇ남자 장난아니게 개멋있다,,,,,,,,,,,,,,,,,
54,난 재밌었음!! 초반에 설명이 조금 부족하긴하지만.. 무엇보다 남주가 멋짐,,,,,,,,,,,,,,,,,
55,거짓말 하나도 안보태고 정말재밌다.,,,,,,,,,,,,,,,,,
56,다이버전트 인텔리전트,,,,,,,,,,,,,,,,,
57,재밋는데? 저 좀 놀랐어요 함 봐보세요 정말 요즘 믿기 힘든 볼만한 영화입니다.,,,,,,,,,,,,,,,,,
58,충분히 재밌고 흥미 있는 부분이 많음 볼만합니다,,,,,,,,,,,,,,,,,
59,흥미로움! <헝거게임>처럼 잘됬음 좋겠당,,,,,,,,,,,,,,,,,
60,멍석은 잘 깔아놓고 얌전하게 논다,,,,,,,,,,,,,,,,,
61,중간 내용이 넘 길고지루함..내용도 별로없고,,,,,,,,,,,,,,,,,
62,전체적인 스토리도 좋았고 나름 볼만한 영화,,,,,,,,,,,,,,,,,
63,내내빠져서봄졸잼졸잼,,,,,,,,,,,,,,,,,
64,스토리가 너무 흥미롭고 연기를 남여주인공 모두 너무 잘함 ㅋㅋ또보고싶다,,,,,,,,,,,,,,,,,
65,10점주는사람들이 알바가 아니고 1점주는 사람들이 알바같은데?ㅋㅋ전미박스오피스1위가 알바로 되는건줄아나봐ㅋㅋ 판타지시리즈물 좋아하는 사람들은 보고 재밌다고 생각할겁니다~~!! 개인적으로 강추!!!,,,,,,,,,,,,,,,,,
66,그냥 가볍게 볼만한 영화예요. 뭘 얼마나 기대했길래 ㅎㅎ 5개 분파 내용은 흥미롭더군요.,,,,,,,,,,,,,,,,,
67,두시간 넘는 러닝타임이지만 지루하지가 않았다는게 중요한거죠,,,,,,,,,,,,,,,,,
68,재밌게봤어요^^ 나름대로 인상 깊었습니다. ㅎㅎㅎ,,,,,,,,,,,,,,,,,
69,생각보다 재밋었다. 내용도 탄탄하고 스케일도 꽤 크고,,,,,,,,,,,,,,,,,
70,아무기대안하고 봤는데 기대이상으로 재밌었어요,,,,,,,,,,,,,,,,,
71,헝거게임을 뛰어넘진 않지만 그만큼은 한다. 특히 남자주인공은 다이버전트의 완승!!!ㅎㅎ,,,,,,,,,,,,,,,,,
72,진짜시간가는줄 몰랐어요!! 또보고싶음!!!!짱!!,,,,,,,,,,,,,,,,,
73,반 페르시 때문에 봤지 아니면 안봤다,,,,,,,,,,,,,,,,,
74,남주인공 너무 매력있음재밋는 요소가 너무 많았어요 최근 개봉작중 완전 추천!,,,,,,,,,,,,,,,,,
75,완전 볼만한 영화였습니다 이런 영화 또 나왔으면 좋겠군요!!,,,,,,,,,,,,,,,,,
76,난 평론가들을 이해할수가 없다 그들은 이런영화를 만들수나 있단말인가? 그러고는 주는평점이 겨우 5?당신들이 이런블록버스터 영화를 만들수나있나? 어이가 없어서 코웃음이 다나오는군 참나,,,,,,,,,,,,,,,,,
77,다섯개의 분파를 외우느라 힘들었다는 ㅋㅋ내가 다이버전트에 걸렸으면 진짜 긴장되서 들켰을듯 ㅜㅜ,,,,,,,,,,,,,,,,,
78,기대 안하고 본 영화 중에  지금까지 베스트인듯 해요! 요즘 볼 영화없어서 기대는 안했지만 뭔가 끌리는 영화!!!!,,,,,,,,,,,,,,,,,
79,재미짐 짱짱맨 놀랐음 생각보다,,,,,,,,,,,,,,,,,
80,해외에서 보고오고 한국에서도 또 볼 예정!!! 진짜 재미있어요! 안보면 후회합니당!,,,,,,,,,,,,,,,,,
81,영상은좋고 소재도좋은데 전개가 .. 재미없다너네 반편성시험 보니?,,,,,,,,,,,,,,,,,
82,이건 대박임니다. 그래비티랑 동시개봉 붙엇어도 개발랏을듯,,,,,,,,,,,,,,,,,
83,개 씌뤠이 평점 알바들 같으니라구....니들이 피싱 사기꾼과 다른게 뭔데...,,,,,,,,,,,,,,,,,
84,솔직히 헝거게임 1편 극장에서 본사람 몇명 안됨 최근에 개봉한거 보고 그거에 못미친다고 비교하는게 말이 안되는거 아닌가? 시리즈 1편에서 이정도 이야기 보여준거면 괜찮은 수준이라고 생각됨,,,,,,,,,,,,,,,,,
85,길어요시간이...Sf도아니고  그냥 긴드라마본느낌현실과는 먼미래공감전혀안감,,,,,,,,,,,,,,,,,
86,영화의 흐름이 잘 이어지지 않고,,,,,,,,,,,,,,,,,
87,중간중간 허술함이 있지만 오징어 /맥주 먹으며 보기 딱 좋음,,,,,,,,,,,,,,,,,
88,오늘보고왓는데 완전 재밋게밧어요!! 문파얘기 좀어려웟는데 여주남주 완전 잘어울려요 액션짱이예요!,,,,,,,,,,,,,,,,,
89,진짜 생각많이 하게 되고 느낀게 정말 많은 영화,,,,,,,,,,,,,,,,,
90,남주여주케미가진짜최고간만에진짜재밌는영화본것같음테오제임스반햇다ㅜ내용도진짜지루할틈없는몰입도짱ㅋ,,,,,,,,,,,,,,,,,
91,정말 재미있었어요! 처음 접해보는 장르임에도 불구하고 트와일라잇 시리즈 헝거게임보다 더 신선한 느낌입니다!!완전 강력추천! 인서전트와 알러전트도 꼭보러가야겠어요!!,,,,,,,,,,,,,,,,,
92,꾸르재에에에에이에이에엠,,,,,,,,,,,,,,,,,
93,평점 8 넘어갈 영화는 아닌 것 같음,,,,,,,,,,,,,,,,,
94,"Great. I really looked forward to""Divergent"" and this by no means disappoints me.U should feel a fascinatingly o...",,,,,,,,,,,,,,,,,
95,초반에 환상적인훈련하느라 체력을 너무썻나,,,,,,,,,,,,,,,,,
